unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
XYZ|0001628280-26-041739|nonDerivative|2026-06-04|Eisen Anthony Mathew|S|Class A  Common Stock|6000|70.84|D,2026-06-09 11:47:06+0000,XYZ,"Block, Inc.",0001512673,4,2026-06-08,2026-06-04,0001628280-26-041739,https://www.sec.gov/Archives/edgar/data/1512673/000162828026041739/wk-form4_1780960483.xml,nonDerivative,2026-06-04,S,Class A  Common Stock,6000,70.84,425040.0,2014990,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-041739|nonDerivative|2026-06-05|Eisen Anthony Mathew|S|Class A  Common Stock|6000|70.19|D,2026-06-09 11:47:06+0000,XYZ,"Block, Inc.",0001512673,4,2026-06-08,2026-06-04,0001628280-26-041739,https://www.sec.gov/Archives/edgar/data/1512673/000162828026041739/wk-form4_1780960483.xml,nonDerivative,2026-06-05,S,Class A  Common Stock,6000,70.19,421140.0,2008990,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-041739|nonDerivative|2026-06-08|Eisen Anthony Mathew|S|Class A  Common Stock|6000|68.22|D,2026-06-09 11:47:06+0000,XYZ,"Block, Inc.",0001512673,4,2026-06-08,2026-06-04,0001628280-26-041739,https://www.sec.gov/Archives/edgar/data/1512673/000162828026041739/wk-form4_1780960483.xml,nonDerivative,2026-06-08,S,Class A  Common Stock,6000,68.22,409320.0,2002990,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
WMT|0000104169-26-000114|nonDerivative|2026-06-04|Walton Steuart L|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0000104169-26-000114,https://www.sec.gov/Archives/edgar/data/104169/000010416926000114/wk-form4_1780958710.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,82311.719,D,Walton Steuart L,Director,1,0,0,,SEC EDGAR
WMT|0001183428-26-000005|nonDerivative|2026-06-04|STEPHENSON RANDALL L|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0001183428-26-000005,https://www.sec.gov/Archives/edgar/data/104169/000118342826000005/wk-form4_1780958824.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,66981.2163,D,STEPHENSON RANDALL L,Director,1,0,0,,SEC EDGAR
WMT|0000104169-26-000113|nonDerivative|2026-06-04|Penner Gregory Boyd|A|Common|2881|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0000104169-26-000113,https://www.sec.gov/Archives/edgar/data/104169/000010416926000113/wk-form4_1780958455.xml,nonDerivative,2026-06-04,A,Common,2881,0,0.0,262607.78,D,Penner Gregory Boyd,Director,1,0,0,,SEC EDGAR
WMT|0002033834-26-000015|nonDerivative|2026-06-04|Moritz Robert Edward Jr.|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0002033834-26-000015,https://www.sec.gov/Archives/edgar/data/104169/000203383426000015/wk-form4_1780958513.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,13742.454,D,Moritz Robert Edward Jr.,Director,1,0,0,,SEC EDGAR
WMT|0000104169-26-000115|nonDerivative|2026-06-04|Mehrotra Shishir|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0000104169-26-000115,https://www.sec.gov/Archives/edgar/data/104169/000010416926000115/wk-form4_1780958926.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,3221,D,Mehrotra Shishir,Director,1,0,0,,SEC EDGAR
WMT|0001550608-26-000014|nonDerivative|2026-06-04|MAYER MARISSA A|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0001550608-26-000014,https://www.sec.gov/Archives/edgar/data/104169/000155060826000014/wk-form4_1780957737.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,133158.571,D,MAYER MARISSA A,Director,1,0,0,,SEC EDGAR
WMT|0001707351-26-000012|nonDerivative|2026-06-04|Harris Carla A|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0001707351-26-000012,https://www.sec.gov/Archives/edgar/data/104169/000170735126000012/wk-form4_1780959019.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,52033,D,Harris Carla A,Director,1,0,0,,SEC EDGAR
WMT|0001175928-26-000004|nonDerivative|2026-06-04|HORTON THOMAS W|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0001175928-26-000004,https://www.sec.gov/Archives/edgar/data/104169/000117592826000004/wk-form4_1780957815.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,59848,D,HORTON THOMAS W,Director,1,0,0,,SEC EDGAR
WMT|0001570658-26-000005|nonDerivative|2026-06-04|Friar Sarah|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0001570658-26-000005,https://www.sec.gov/Archives/edgar/data/104169/000157065826000005/wk-form4_1780958388.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,62067.132,D,Friar Sarah,Director,1,0,0,,SEC EDGAR
WMT|0001616172-26-000005|nonDerivative|2026-06-04|Conde Cesar|A|Common|1935|0|D,2026-06-09 11:47:06+0000,WMT,Walmart Inc.,0000104169,4,2026-06-08,2026-06-04,0001616172-26-000005,https://www.sec.gov/Archives/edgar/data/104169/000161617226000005/wk-form4_1780958567.xml,nonDerivative,2026-06-04,A,Common,1935,0,0.0,33523,D,Conde Cesar,Director,1,0,0,,SEC EDGAR
WM|0001225208-26-005876|nonDerivative|2026-06-05|Carrasco Rafael|M|Common Stock|2655.0000|126.0050|D,2026-06-09 11:47:06+0000,WM,WASTE MANAGEMENT INC,0000823768,4,2026-06-08,2026-06-05,0001225208-26-005876,https://www.sec.gov/Archives/edgar/data/823768/000122520826005876/doc4.xml,nonDerivative,2026-06-05,M,Common Stock,2655.0000,126.0050,334543.27499999997,18194.7420,D,Carrasco Rafael,"Officer, SVP of Enterprise Strategy",,1,,SVP of Enterprise Strategy,SEC EDGAR
WM|0001225208-26-005876|nonDerivative|2026-06-05|Carrasco Rafael|S|Common Stock|2655.0000|220.4650|D,2026-06-09 11:47:06+0000,WM,WASTE MANAGEMENT INC,0000823768,4,2026-06-08,2026-06-05,0001225208-26-005876,https://www.sec.gov/Archives/edgar/data/823768/000122520826005876/doc4.xml,nonDerivative,2026-06-05,S,Common Stock,2655.0000,220.4650,585334.575,15539.7420,D,Carrasco Rafael,"Officer, SVP of Enterprise Strategy",,1,,SVP of Enterprise Strategy,SEC EDGAR
WM|0001225208-26-005876|derivative|2026-06-05|Carrasco Rafael|M|Stock Option (Right to Buy)|2655.0000|126.0050|D,2026-06-09 11:47:06+0000,WM,WASTE MANAGEMENT INC,0000823768,4,2026-06-08,2026-06-05,0001225208-26-005876,https://www.sec.gov/Archives/edgar/data/823768/000122520826005876/doc4.xml,derivative,2026-06-05,M,Stock Option (Right to Buy),2655.0000,126.0050,334543.27499999997,0.0000,D,Carrasco Rafael,"Officer, SVP of Enterprise Strategy",,1,,SVP of Enterprise Strategy,SEC EDGAR
WDAY|0000938071-26-000029|nonDerivative|2026-06-04|DUFFIELD DAVID A|C|Class A Common Stock|107500|0|D,2026-06-09 11:47:06+0000,WDAY,"Workday, Inc.",0001327811,4,2026-06-08,2026-06-04,0000938071-26-000029,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000029/wk-form4_1780950130.xml,nonDerivative,2026-06-04,C,Class A Common Stock,107500,0,0.0,212549,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000029|nonDerivative|2026-06-04|DUFFIELD DAVID A|S|Class A Common Stock|35471|148.5224|D,2026-06-09 11:47:06+0000,WDAY,"Workday, Inc.",0001327811,4,2026-06-08,2026-06-04,0000938071-26-000029,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000029/wk-form4_1780950130.xml,nonDerivative,2026-06-04,S,Class A Common Stock,35471,148.5224,5268238.0504,177078,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000029|nonDerivative|2026-06-04|DUFFIELD DAVID A|S|Class A Common Stock|36475|149.2577|D,2026-06-09 11:47:06+0000,WDAY,"Workday, Inc.",0001327811,4,2026-06-08,2026-06-04,0000938071-26-000029,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000029/wk-form4_1780950130.xml,nonDerivative,2026-06-04,S,Class A Common Stock,36475,149.2577,5444174.6075,140603,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000029|nonDerivative|2026-06-04|DUFFIELD DAVID A|S|Class A Common Stock|18891|150.402|D,2026-06-09 11:47:06+0000,WDAY,"Workday, Inc.",0001327811,4,2026-06-08,2026-06-04,0000938071-26-000029,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000029/wk-form4_1780950130.xml,nonDerivative,2026-06-04,S,Class A Common Stock,18891,150.402,2841244.1819999996,121712,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000029|nonDerivative|2026-06-04|DUFFIELD DAVID A|S|Class A Common Stock|13548|151.2816|D,2026-06-09 11:47:06+0000,WDAY,"Workday, Inc.",0001327811,4,2026-06-08,2026-06-04,0000938071-26-000029,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000029/wk-form4_1780950130.xml,nonDerivative,2026-06-04,S,Class A Common Stock,13548,151.2816,2049563.1168,108164,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000029|nonDerivative|2026-06-04|DUFFIELD DAVID A|S|Class A Common Stock|3115|152.2155|D,2026-06-09 11:47:06+0000,WDAY,"Workday, Inc.",0001327811,4,2026-06-08,2026-06-04,0000938071-26-000029,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000029/wk-form4_1780950130.xml,nonDerivative,2026-06-04,S,Class A Common Stock,3115,152.2155,474151.2825,105049,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000029|derivative|2026-06-04|DUFFIELD DAVID A|C|Class B Common Stock|107500|0|D,2026-06-09 11:47:06+0000,WDAY,"Workday, Inc.",0001327811,4,2026-06-08,2026-06-04,0000938071-26-000029,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000029/wk-form4_1780950130.xml,derivative,2026-06-04,C,Class B Common Stock,107500,0,0.0,37313834,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WBD|0001437107-26-000061|nonDerivative|2026-06-04|Price Paula A|I|Series A Common Stock|11046|27|D,2026-06-09 11:47:06+0000,WBD,"Warner Bros. Discovery, Inc.",0001437107,4,2026-06-08,2026-06-04,0001437107-26-000061,https://www.sec.gov/Archives/edgar/data/1437107/000143710726000061/wk-form4_1780967328.xml,nonDerivative,2026-06-04,I,Series A Common Stock,11046,27,298242.0,83151,D,Price Paula A,Director,1,0,0,,SEC EDGAR
VRSK|0001193125-26-261731|nonDerivative|2026-06-05|LISS SAMUEL G|M|Common Stock|4671|80.93|D,2026-06-09 11:47:06+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-06-08,2026-06-05,0001193125-26-261731,https://www.sec.gov/Archives/edgar/data/1442145/000119312526261731/ownership.xml,nonDerivative,2026-06-05,M,Common Stock,4671,80.93,378024.03,73769,D,LISS SAMUEL G,,true,false,false,,SEC EDGAR
VRSK|0001193125-26-261731|nonDerivative|2026-06-05|LISS SAMUEL G|S|Common Stock|4671|182.21|D,2026-06-09 11:47:06+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-06-08,2026-06-05,0001193125-26-261731,https://www.sec.gov/Archives/edgar/data/1442145/000119312526261731/ownership.xml,nonDerivative,2026-06-05,S,Common Stock,4671,182.21,851102.91,69098,D,LISS SAMUEL G,,true,false,false,,SEC EDGAR
VRSK|0001193125-26-261731|derivative|2026-06-05|LISS SAMUEL G|M|Stock Option|4671|0.00|D,2026-06-09 11:47:06+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-06-08,2026-06-05,0001193125-26-261731,https://www.sec.gov/Archives/edgar/data/1442145/000119312526261731/ownership.xml,derivative,2026-06-05,M,Stock Option,4671,0.00,0.0,0,D,LISS SAMUEL G,,true,false,false,,SEC EDGAR
UDR|0001195697-26-000006|nonDerivative|2026-06-05|TOOMEY THOMAS W|S|Common Stock|80000.0000|39.2501|D,2026-06-09 11:47:06+0000,UDR,"UDR, Inc.",0000074208,4,2026-06-08,2026-06-05,0001195697-26-000006,https://www.sec.gov/Archives/edgar/data/74208/000119569726000006/f4_a1eus000008zn37mae-live.xml,nonDerivative,2026-06-05,S,Common Stock,80000.0000,39.2501,3140008.0000000005,810455.0000,D,TOOMEY THOMAS W,"Chairman, President and CEO",true,true,false,"Chairman, President and CEO",SEC EDGAR
TTWO|0000946581-26-000051|nonDerivative|2026-06-04|Dornemann Michael|S|Common Stock|1151|217.02|D,2026-06-09 11:47:06+0000,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,4,2026-06-08,2026-06-04,0000946581-26-000051,https://www.sec.gov/Archives/edgar/data/946581/000094658126000051/form4.xml,nonDerivative,2026-06-04,S,Common Stock,1151,217.02,249790.02000000002,20374,D,Dornemann Michael,Director,1,,,,SEC EDGAR
TT|0001628280-26-041529|nonDerivative|2026-06-04|HUDSON LINDA P|F|Ordinary Shares|112|463.76|D,2026-06-09 11:47:06+0000,TT,Trane Technologies plc,0001466258,4,2026-06-08,2026-06-04,0001628280-26-041529,https://www.sec.gov/Archives/edgar/data/1466258/000162828026041529/wk-form4_1780949135.xml,nonDerivative,2026-06-04,F,Ordinary Shares,112,463.76,51941.119999999995,1657,D,HUDSON LINDA P,Director,1,0,0,,SEC EDGAR
TPL|0001437749-26-019802|nonDerivative|2026-06-05|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|394.84|D,2026-06-09 11:47:06+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-06-08,2026-06-05,0001437749-26-019802,https://www.sec.gov/Archives/edgar/data/1811074/000143774926019802/rdgdoc.xml,nonDerivative,2026-06-05,P,Common Stock,1,394.84,394.84,3393547,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
STLD|0001022671-26-000129|nonDerivative|2026-06-05|Anderson James Stanley|S|Common Stock|1100|267.35|D,2026-06-09 11:47:06+0000,STLD,STEEL DYNAMICS INC,0001022671,4,2026-06-08,2026-06-05,0001022671-26-000129,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000129/form4.xml,nonDerivative,2026-06-05,S,Common Stock,1100,267.35,294085.0,111737,D,Anderson James Stanley,"Officer, Senior Vice President",0,1,0,Senior Vice President,SEC EDGAR
STLD|0001022671-26-000129|nonDerivative|2026-06-05|Anderson James Stanley|S|Common Stock|4177|268.42|D,2026-06-09 11:47:06+0000,STLD,STEEL DYNAMICS INC,0001022671,4,2026-06-08,2026-06-05,0001022671-26-000129,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000129/form4.xml,nonDerivative,2026-06-05,S,Common Stock,4177,268.42,1121190.34,107560,D,Anderson James Stanley,"Officer, Senior Vice President",0,1,0,Senior Vice President,SEC EDGAR
STLD|0001022671-26-000129|nonDerivative|2026-06-05|Anderson James Stanley|S|Common Stock|4401|269.22|D,2026-06-09 11:47:06+0000,STLD,STEEL DYNAMICS INC,0001022671,4,2026-06-08,2026-06-05,0001022671-26-000129,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000129/form4.xml,nonDerivative,2026-06-05,S,Common Stock,4401,269.22,1184837.2200000002,103159,D,Anderson James Stanley,"Officer, Senior Vice President",0,1,0,Senior Vice President,SEC EDGAR
STLD|0001022671-26-000129|nonDerivative|2026-06-05|Anderson James Stanley|S|Common Stock|322|269.93|D,2026-06-09 11:47:06+0000,STLD,STEEL DYNAMICS INC,0001022671,4,2026-06-08,2026-06-05,0001022671-26-000129,https://www.sec.gov/Archives/edgar/data/1022671/000102267126000129/form4.xml,nonDerivative,2026-06-05,S,Common Stock,322,269.93,86917.46,102837,D,Anderson James Stanley,"Officer, Senior Vice President",0,1,0,Senior Vice President,SEC EDGAR
STE|0001628280-26-041640|nonDerivative|2026-06-04|Zangerle John Adam|F|Ordinary Shares|401|212.24|D,2026-06-09 11:47:06+0000,STE,STERIS plc,0001757898,4,2026-06-08,2026-06-04,0001628280-26-041640,https://www.sec.gov/Archives/edgar/data/1757898/000162828026041640/wk-form4_1780950796.xml,nonDerivative,2026-06-04,F,Ordinary Shares,401,212.24,85108.24,36678,D,Zangerle John Adam,"Officer, Sr. VP, Gen Counsel, and Sec.",0,1,0,"Sr. VP, Gen Counsel, and Sec.",SEC EDGAR
STE|0001628280-26-041639|nonDerivative|2026-06-04|Tamaro Renato|F|Ordinary Shares|65|212.24|D,2026-06-09 11:47:06+0000,STE,STERIS plc,0001757898,4,2026-06-08,2026-06-04,0001628280-26-041639,https://www.sec.gov/Archives/edgar/data/1757898/000162828026041639/wk-form4_1780950776.xml,nonDerivative,2026-06-04,F,Ordinary Shares,65,212.24,13795.6,6194,D,Tamaro Renato,"Officer, V.P. & Corporate Treasurer",0,1,0,V.P. & Corporate Treasurer,SEC EDGAR
STE|0001628280-26-041637|nonDerivative|2026-06-04|Madsen Julia|F|Ordinary Shares|195|212.24|D,2026-06-09 11:47:06+0000,STE,STERIS plc,0001757898,4,2026-06-08,2026-06-04,0001628280-26-041637,https://www.sec.gov/Archives/edgar/data/1757898/000162828026041637/wk-form4_1780950754.xml,nonDerivative,2026-06-04,F,Ordinary Shares,195,212.24,41386.8,12257,D,Madsen Julia,"Officer, Sr. VP and GM, Life Sciences",0,1,0,"Sr. VP and GM, Life Sciences",SEC EDGAR
STE|0001628280-26-041636|nonDerivative|2026-06-04|Kohler Kenneth E|F|Ordinary Shares|150|212.24|D,2026-06-09 11:47:06+0000,STE,STERIS plc,0001757898,4,2026-06-08,2026-06-04,0001628280-26-041636,https://www.sec.gov/Archives/edgar/data/1757898/000162828026041636/wk-form4_1780950733.xml,nonDerivative,2026-06-04,F,Ordinary Shares,150,212.24,31836.0,11332,D,Kohler Kenneth E,"Officer, SVP & GM, AST",0,1,0,"SVP & GM, AST",SEC EDGAR
STE|0001628280-26-041634|nonDerivative|2026-06-04|Fraser Mary Clare|F|Ordinary Shares|600|212.24|D,2026-06-09 11:47:06+0000,STE,STERIS plc,0001757898,4,2026-06-08,2026-06-04,0001628280-26-041634,https://www.sec.gov/Archives/edgar/data/1757898/000162828026041634/wk-form4_1780950711.xml,nonDerivative,2026-06-04,F,Ordinary Shares,600,212.24,127344.0,13716,D,Fraser Mary Clare,"Officer, SVP & Chief HRO",0,1,0,SVP & Chief HRO,SEC EDGAR
STE|0001628280-26-041629|nonDerivative|2026-06-04|Carestio Daniel A|F|Ordinary Shares|1889|212.24|D,2026-06-09 11:47:06+0000,STE,STERIS plc,0001757898,4,2026-06-08,2026-06-04,0001628280-26-041629,https://www.sec.gov/Archives/edgar/data/1757898/000162828026041629/wk-form4_1780950690.xml,nonDerivative,2026-06-04,F,Ordinary Shares,1889,212.24,400921.36000000004,68075,D,Carestio Daniel A,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
