unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
XYZ|0001628280-26-057193|nonDerivative|2026-08-12|Eisen Anthony Mathew|S|Class A  Common Stock|6000|78.62|D,2026-08-17 01:51:20+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-14,2026-08-12,0001628280-26-057193,https://www.sec.gov/Archives/edgar/data/1512673/000162828026057193/wk-form4_1786744575.xml,nonDerivative,2026-08-12,S,Class A  Common Stock,6000,78.62,471720.0,1536672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-057193|nonDerivative|2026-08-13|Eisen Anthony Mathew|S|Class A  Common Stock|6000|79.16|D,2026-08-17 01:51:20+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-14,2026-08-12,0001628280-26-057193,https://www.sec.gov/Archives/edgar/data/1512673/000162828026057193/wk-form4_1786744575.xml,nonDerivative,2026-08-13,S,Class A  Common Stock,6000,79.16,474960.0,1530672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-057193|nonDerivative|2026-08-14|Eisen Anthony Mathew|S|Class A  Common Stock|6000|82.87|D,2026-08-17 01:51:20+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-14,2026-08-12,0001628280-26-057193,https://www.sec.gov/Archives/edgar/data/1512673/000162828026057193/wk-form4_1786744575.xml,nonDerivative,2026-08-14,S,Class A  Common Stock,6000,82.87,497220.0,1524672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYL|0001524472-26-000120|nonDerivative|2026-08-13|KOCH D CHRISTIAN|A|Common  Stock|1247|120.27|D,2026-08-17 01:51:20+0000,XYL,Xylem Inc.,0001524472,4,2026-08-14,2026-08-13,0001524472-26-000120,https://www.sec.gov/Archives/edgar/data/1524472/000152447226000120/form4.xml,nonDerivative,2026-08-13,A,Common  Stock,1247,120.27,149976.69,1247,D,KOCH D CHRISTIAN,Director,1,,,,SEC EDGAR
WYNN|0001104659-26-097227|derivative|2026-08-12|FERTITTA TILMAN J|S|Call Option (obligation to sell)|100000|4.5878|I,2026-08-17 01:51:20+0000,WYNN,WYNN RESORTS LTD,0001174922,4,2026-08-14,2026-08-12,0001104659-26-097227,https://www.sec.gov/Archives/edgar/data/1174922/000110465926097227/tm2623242-1_4seq1.xml,derivative,2026-08-12,S,Call Option (obligation to sell),100000,4.5878,458779.99999999994,100000,I,FERTITTA TILMAN J,10% Owner,0,0,1,,SEC EDGAR
WYNN|0001104659-26-097227|derivative|2026-08-12|FERTITTA TILMAN J|S|Call Option (obligation to sell)|100000|4.3509|I,2026-08-17 01:51:20+0000,WYNN,WYNN RESORTS LTD,0001174922,4,2026-08-14,2026-08-12,0001104659-26-097227,https://www.sec.gov/Archives/edgar/data/1174922/000110465926097227/tm2623242-1_4seq1.xml,derivative,2026-08-12,S,Call Option (obligation to sell),100000,4.3509,435090.0,100000,I,FERTITTA TILMAN J,10% Owner,0,0,1,,SEC EDGAR
WYNN|0001104659-26-097227|derivative|2026-08-12|FERTITTA TILMAN J|S|Call Option (obligation to sell)|100000|4.1174|I,2026-08-17 01:51:20+0000,WYNN,WYNN RESORTS LTD,0001174922,4,2026-08-14,2026-08-12,0001104659-26-097227,https://www.sec.gov/Archives/edgar/data/1174922/000110465926097227/tm2623242-1_4seq1.xml,derivative,2026-08-12,S,Call Option (obligation to sell),100000,4.1174,411740.0,100000,I,FERTITTA TILMAN J,10% Owner,0,0,1,,SEC EDGAR
WBD|0001318285-26-000017|nonDerivative|2026-08-13|Zaslav David|S|Series A Common Stock|94906|28|D,2026-08-17 01:51:20+0000,WBD,"Warner Bros. Discovery, Inc.",0001437107,4,2026-08-14,2026-08-13,0001318285-26-000017,https://www.sec.gov/Archives/edgar/data/1437107/000131828526000017/wk-form4_1786757846.xml,nonDerivative,2026-08-13,S,Series A Common Stock,94906,28,2657368.0,6807934,D,Zaslav David,"Director, Officer, Chief Executive Officer & Pres",1,1,0,Chief Executive Officer & Pres,SEC EDGAR
WBD|0001318285-26-000017|nonDerivative|2026-08-13|Zaslav David|M|Series A Common Stock|678267|10.16|D,2026-08-17 01:51:20+0000,WBD,"Warner Bros. Discovery, Inc.",0001437107,4,2026-08-14,2026-08-13,0001318285-26-000017,https://www.sec.gov/Archives/edgar/data/1437107/000131828526000017/wk-form4_1786757846.xml,nonDerivative,2026-08-13,M,Series A Common Stock,678267,10.16,6891192.72,7486201,D,Zaslav David,"Director, Officer, Chief Executive Officer & Pres",1,1,0,Chief Executive Officer & Pres,SEC EDGAR
WBD|0001318285-26-000017|nonDerivative|2026-08-13|Zaslav David|S|Series A Common Stock|678267|28.01|D,2026-08-17 01:51:20+0000,WBD,"Warner Bros. Discovery, Inc.",0001437107,4,2026-08-14,2026-08-13,0001318285-26-000017,https://www.sec.gov/Archives/edgar/data/1437107/000131828526000017/wk-form4_1786757846.xml,nonDerivative,2026-08-13,S,Series A Common Stock,678267,28.01,18998258.67,6807934,D,Zaslav David,"Director, Officer, Chief Executive Officer & Pres",1,1,0,Chief Executive Officer & Pres,SEC EDGAR
