unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
XYZ|0001628280-26-051453|nonDerivative|2026-07-29|Acosta Andrea|A|Class A  Common Stock|112191|0|D,2026-08-01 03:44:51+0000,XYZ,"Block, Inc.",0001512673,4,2026-07-31,2026-07-29,0001628280-26-051453,https://www.sec.gov/Archives/edgar/data/1512673/000162828026051453/wk-form4_1785532058.xml,nonDerivative,2026-07-29,A,Class A  Common Stock,112191,0,0.0,112191,D,Acosta Andrea,"Officer, Chief Accounting Officer",0,1,0,Chief Accounting Officer,SEC EDGAR
XEL|0000072903-26-000158|nonDerivative|2026-07-29|Carter Peter W|A|Common Stock|1818.74|0|D,2026-08-01 03:44:51+0000,XEL,XCEL ENERGY INC,0000072903,4,2026-07-31,2026-07-29,0000072903-26-000158,https://www.sec.gov/Archives/edgar/data/72903/000007290326000158/wk-form4_1785530378.xml,nonDerivative,2026-07-29,A,Common Stock,1818.74,0,0.0,1818.74,D,Carter Peter W,Director,1,0,0,,SEC EDGAR
VRSK|0001193125-26-328459|nonDerivative|2026-07-29|Shavel Lee|S|Common Stock|2500|220.00|D,2026-08-01 03:44:51+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-07-31,2026-07-29,0001193125-26-328459,https://www.sec.gov/Archives/edgar/data/1442145/000119312526328459/ownership.xml,nonDerivative,2026-07-29,S,Common Stock,2500,220.00,550000.0,98490,D,Shavel Lee,Chief Executive Officer,true,true,false,Chief Executive Officer,SEC EDGAR
VRSK|0001193125-26-328574|nonDerivative|2026-07-31|Beckles Kathy Card|S|Common Stock|2020|195.49|D,2026-08-01 03:44:51+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-07-31,2026-07-31,0001193125-26-328574,https://www.sec.gov/Archives/edgar/data/1442145/000119312526328574/ownership.xml,nonDerivative,2026-07-31,S,Common Stock,2020,195.49,394889.80000000005,11516,D,Beckles Kathy Card,Chief Legal Officer,false,true,false,Chief Legal Officer,SEC EDGAR
VLTO|0001834046-26-000008|nonDerivative|2026-07-29|Honeycutt Jennifer|M|Common Stock|7097|28.76|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-31,2026-07-29,0001834046-26-000008,https://www.sec.gov/Archives/edgar/data/1967680/000183404626000008/wk-form4_1785531663.xml,nonDerivative,2026-07-29,M,Common Stock,7097,28.76,204109.72,131182,D,Honeycutt Jennifer,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
VLTO|0001834046-26-000008|nonDerivative|2026-07-29|Honeycutt Jennifer|S|Common Stock|7097|101.52|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-31,2026-07-29,0001834046-26-000008,https://www.sec.gov/Archives/edgar/data/1967680/000183404626000008/wk-form4_1785531663.xml,nonDerivative,2026-07-29,S,Common Stock,7097,101.52,720487.44,124085,D,Honeycutt Jennifer,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
VLTO|0001834046-26-000008|derivative|2026-07-29|Honeycutt Jennifer|M|Employee Stock Option (Right to Buy)|7097|0|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-31,2026-07-29,0001834046-26-000008,https://www.sec.gov/Archives/edgar/data/1967680/000183404626000008/wk-form4_1785531663.xml,derivative,2026-07-29,M,Employee Stock Option (Right to Buy),7097,0,0.0,7098,D,Honeycutt Jennifer,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
V|0001403161-26-000107|nonDerivative|2026-07-30|MAHON TULLIER KELLY|M|Class A Common Stock|37281|109.82|D,2026-08-01 03:44:51+0000,V,VISA INC.,0001403161,4,2026-07-31,2026-07-30,0001403161-26-000107,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000107/form4.xml,nonDerivative,2026-07-30,M,Class A Common Stock,37281,109.82,4094199.42,106934,D,MAHON TULLIER KELLY,"Officer, VICE CHAIR, CHF PPL & CORP AFF",,1,,"VICE CHAIR, CHF PPL & CORP AFF",SEC EDGAR
V|0001403161-26-000107|nonDerivative|2026-07-30|MAHON TULLIER KELLY|S|Class A Common Stock|37281|365.0492|D,2026-08-01 03:44:51+0000,V,VISA INC.,0001403161,4,2026-07-31,2026-07-30,0001403161-26-000107,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000107/form4.xml,nonDerivative,2026-07-30,S,Class A Common Stock,37281,365.0492,13609399.2252,69653,D,MAHON TULLIER KELLY,"Officer, VICE CHAIR, CHF PPL & CORP AFF",,1,,"VICE CHAIR, CHF PPL & CORP AFF",SEC EDGAR
V|0001403161-26-000107|nonDerivative|2026-07-30|MAHON TULLIER KELLY|S|Class A Common Stock|19991|364.8112|D,2026-08-01 03:44:51+0000,V,VISA INC.,0001403161,4,2026-07-31,2026-07-30,0001403161-26-000107,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000107/form4.xml,nonDerivative,2026-07-30,S,Class A Common Stock,19991,364.8112,7292940.6992,49662,D,MAHON TULLIER KELLY,"Officer, VICE CHAIR, CHF PPL & CORP AFF",,1,,"VICE CHAIR, CHF PPL & CORP AFF",SEC EDGAR
V|0001403161-26-000107|derivative|2026-07-30|MAHON TULLIER KELLY|M|Employee Stock Option (Right to Buy)|37281|0|D,2026-08-01 03:44:51+0000,V,VISA INC.,0001403161,4,2026-07-31,2026-07-30,0001403161-26-000107,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000107/form4.xml,derivative,2026-07-30,M,Employee Stock Option (Right to Buy),37281,0,0.0,0,D,MAHON TULLIER KELLY,"Officer, VICE CHAIR, CHF PPL & CORP AFF",,1,,"VICE CHAIR, CHF PPL & CORP AFF",SEC EDGAR
TXN|0000097476-26-000154|nonDerivative|2026-07-24|Knecht Julie C.|A|Common Stock|7154|0|D,2026-08-01 03:44:51+0000,TXN,TEXAS INSTRUMENTS INC,0000097476,4,2026-07-31,2026-07-24,0000097476-26-000154,https://www.sec.gov/Archives/edgar/data/97476/000009747626000154/wk-form4_1785529564.xml,nonDerivative,2026-07-24,A,Common Stock,7154,0,0.0,16294,D,Knecht Julie C.,"Officer, VP & Chief Accounting Officer",0,1,0,VP & Chief Accounting Officer,SEC EDGAR
TPL|0001437749-26-025180|nonDerivative|2026-07-30|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|389.14|D,2026-08-01 03:44:51+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-07-31,2026-07-30,0001437749-26-025180,https://www.sec.gov/Archives/edgar/data/1811074/000143774926025180/rdgdoc.xml,nonDerivative,2026-07-30,P,Common Stock,1,389.14,389.14,3263687,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
TECH|0000914190-26-000108|nonDerivative|2026-07-29|Hippel James|M|Common Stock|62068|47.60|D,2026-08-01 03:44:51+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-31,2026-07-29,0000914190-26-000108,https://www.sec.gov/Archives/edgar/data/842023/000091419026000108/form4.xml,nonDerivative,2026-07-29,M,Common Stock,62068,47.60,2954436.8000000003,215738,D,Hippel James,"Officer, CFO",0,1,0,CFO,SEC EDGAR
TECH|0000914190-26-000108|nonDerivative|2026-07-29|Hippel James|F|Common Stock|51024|72.03|D,2026-08-01 03:44:51+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-31,2026-07-29,0000914190-26-000108,https://www.sec.gov/Archives/edgar/data/842023/000091419026000108/form4.xml,nonDerivative,2026-07-29,F,Common Stock,51024,72.03,3675258.72,164714,D,Hippel James,"Officer, CFO",0,1,0,CFO,SEC EDGAR
TECH|0000914190-26-000108|derivative|2026-07-29|Hippel James|M|Stock Options (Right to Buy)|62068|0|D,2026-08-01 03:44:51+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-31,2026-07-29,0000914190-26-000108,https://www.sec.gov/Archives/edgar/data/842023/000091419026000108/form4.xml,derivative,2026-07-29,M,Stock Options (Right to Buy),62068,0,0.0,0,D,Hippel James,"Officer, CFO",0,1,0,CFO,SEC EDGAR
SNA|0000091440-26-000148|nonDerivative|2026-07-31|HOLDEN JAMES P|A|Common Stock|33|410.41|D,2026-08-01 03:44:51+0000,SNA,Snap-on Inc,0000091440,4,2026-07-31,2026-07-31,0000091440-26-000148,https://www.sec.gov/Archives/edgar/data/91440/000009144026000148/form4.xml,nonDerivative,2026-07-31,A,Common Stock,33,410.41,13543.53,8991.3456,D,HOLDEN JAMES P,Director,1,,,,SEC EDGAR
RCL|0001492662-26-000009|nonDerivative|2026-07-29|Bayley Michael W|S|Common Stock|12811|315.99|D,2026-08-01 03:44:51+0000,RCL,ROYAL CARIBBEAN CRUISES LTD,0000884887,4,2026-07-31,2026-07-29,0001492662-26-000009,https://www.sec.gov/Archives/edgar/data/884887/000149266226000009/wk-form4_1785530184.xml,nonDerivative,2026-07-29,S,Common Stock,12811,315.99,4048147.89,45297,D,Bayley Michael W,"Officer, Pres&CEO, Royal Caribbean Intl",0,1,0,"Pres&CEO, Royal Caribbean Intl",SEC EDGAR
NXPI|0002141713-26-000004|derivative|2026-07-29|Hoffmann Michael Thomas|A|Restricted Stock Unit|2075|0|D,2026-08-01 03:44:51+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-07-31,2026-07-29,0002141713-26-000004,https://www.sec.gov/Archives/edgar/data/1413447/000214171326000004/wk-form4_1785499426.xml,derivative,2026-07-29,A,Restricted Stock Unit,2075,0,0.0,2075,D,Hoffmann Michael Thomas,"Officer, EVP & General Counsel",0,1,0,EVP & General Counsel,SEC EDGAR
"NVR|0000906163-26-000088|nonDerivative|2026-07-30|Martinez Melquiades R.|G|NVR, Inc. common stock|29|0|D",2026-08-01 03:44:51+0000,NVR,NVR INC,0000906163,4,2026-07-31,2026-07-30,0000906163-26-000088,https://www.sec.gov/Archives/edgar/data/906163/000090616326000088/wk-form4_1785523152.xml,nonDerivative,2026-07-30,G,"NVR, Inc. common stock",29,0,0.0,162,D,Martinez Melquiades R.,Director,1,0,0,,SEC EDGAR
"NDAQ|0001193125-26-328462|nonDerivative|2026-07-29|Griggs PC Nelson|S|Common Stock, par value $0.01 per share|11010|96.35|D",2026-08-01 03:44:51+0000,NDAQ,"NASDAQ, INC.",0001120193,4,2026-07-31,2026-07-29,0001193125-26-328462,https://www.sec.gov/Archives/edgar/data/1120193/000119312526328462/ownership.xml,nonDerivative,2026-07-29,S,"Common Stock, par value $0.01 per share",11010,96.35,1060813.5,205001,D,Griggs PC Nelson,Pres. Capital Access Platforms,false,true,false,Pres. Capital Access Platforms,SEC EDGAR
MRSH|0000062709-26-000204|nonDerivative|2026-07-29|Beswick Paul|S|Common Stock|713|198.00|D,2026-08-01 03:44:51+0000,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",0000062709,4,2026-07-31,2026-07-29,0000062709-26-000204,https://www.sec.gov/Archives/edgar/data/62709/000006270926000204/form4.xml,nonDerivative,2026-07-29,S,Common Stock,713,198.00,141174.0,16376,D,Beswick Paul,"Officer, SVP, Chief Information Officer",,1,,"SVP, Chief Information Officer",SEC EDGAR
ISRG|0002010300-26-000025|nonDerivative|2026-07-30|Brosius Mark|S|Common Stock|28|346.83|D,2026-08-01 03:44:51+0000,ISRG,INTUITIVE SURGICAL INC,0001035267,4,2026-07-31,2026-07-30,0002010300-26-000025,https://www.sec.gov/Archives/edgar/data/1035267/000201030026000025/edgardoc.xml,nonDerivative,2026-07-30,S,Common Stock,28,346.83,9711.24,1294,D,Brosius Mark,"Officer, EVP & Chief Mfg and Supply Cha",0,1,0,EVP & Chief Mfg and Supply Cha,SEC EDGAR
ISRG|0002010300-26-000025|nonDerivative|2026-07-31|Brosius Mark|S|Common Stock|28|351.0|D,2026-08-01 03:44:51+0000,ISRG,INTUITIVE SURGICAL INC,0001035267,4,2026-07-31,2026-07-30,0002010300-26-000025,https://www.sec.gov/Archives/edgar/data/1035267/000201030026000025/edgardoc.xml,nonDerivative,2026-07-31,S,Common Stock,28,351.0,9828.0,1266,D,Brosius Mark,"Officer, EVP & Chief Mfg and Supply Cha",0,1,0,EVP & Chief Mfg and Supply Cha,SEC EDGAR
IQV|0001628280-26-051451|nonDerivative|2026-07-29|Sherbet Eric|S|Common Stock|5000|249.16|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051451,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051451/wk-form4_1785531837.xml,nonDerivative,2026-07-29,S,Common Stock,5000,249.16,1245800.0,20999,D,Sherbet Eric,"Officer, See Remarks",0,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051450|nonDerivative|2026-07-29|Cherofsky Keriann|S|Common Stock|558|245.21|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051450,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051450/wk-form4_1785531795.xml,nonDerivative,2026-07-29,S,Common Stock,558,245.21,136827.18,2989,D,Cherofsky Keriann,"Officer, See Remarks",0,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051449|nonDerivative|2026-07-29|BOUSBIB ARI|M|Common Stock|156206|78.21|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051449,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051449/wk-form4_1785531724.xml,nonDerivative,2026-07-29,M,Common Stock,156206,78.21,12216871.26,992147,D,BOUSBIB ARI,"Director, Officer, See Remarks",1,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051449|nonDerivative|2026-07-29|BOUSBIB ARI|S|Common Stock|4465|247.10|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051449,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051449/wk-form4_1785531724.xml,nonDerivative,2026-07-29,S,Common Stock,4465,247.10,1103301.5,987682,D,BOUSBIB ARI,"Director, Officer, See Remarks",1,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051449|nonDerivative|2026-07-29|BOUSBIB ARI|S|Common Stock|4584|246.85|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051449,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051449/wk-form4_1785531724.xml,nonDerivative,2026-07-29,S,Common Stock,4584,246.85,1131560.4,983098,D,BOUSBIB ARI,"Director, Officer, See Remarks",1,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051449|nonDerivative|2026-07-29|BOUSBIB ARI|S|Common Stock|44039|246.08|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051449,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051449/wk-form4_1785531724.xml,nonDerivative,2026-07-29,S,Common Stock,44039,246.08,10837117.120000001,939059,D,BOUSBIB ARI,"Director, Officer, See Remarks",1,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051449|nonDerivative|2026-07-29|BOUSBIB ARI|S|Common Stock|53191|244.78|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051449,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051449/wk-form4_1785531724.xml,nonDerivative,2026-07-29,S,Common Stock,53191,244.78,13020092.98,885868,D,BOUSBIB ARI,"Director, Officer, See Remarks",1,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051449|nonDerivative|2026-07-29|BOUSBIB ARI|D|Common Stock|47858|244.60|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051449,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051449/wk-form4_1785531724.xml,nonDerivative,2026-07-29,D,Common Stock,47858,244.60,11706066.799999999,838010,D,BOUSBIB ARI,"Director, Officer, See Remarks",1,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051449|nonDerivative|2026-07-29|BOUSBIB ARI|D|Common Stock|2069|247|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051449,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051449/wk-form4_1785531724.xml,nonDerivative,2026-07-29,D,Common Stock,2069,247,511043.0,835941,D,BOUSBIB ARI,"Director, Officer, See Remarks",1,1,0,See Remarks,SEC EDGAR
IQV|0001628280-26-051449|derivative|2026-07-29|BOUSBIB ARI|M|Stock Appreciation Right|156206|78.21|D,2026-08-01 03:44:51+0000,IQV,IQVIA HOLDINGS INC.,0001478242,4,2026-07-31,2026-07-29,0001628280-26-051449,https://www.sec.gov/Archives/edgar/data/1478242/000162828026051449/wk-form4_1785531724.xml,derivative,2026-07-29,M,Stock Appreciation Right,156206,78.21,12216871.26,0,D,BOUSBIB ARI,"Director, Officer, See Remarks",1,1,0,See Remarks,SEC EDGAR
INTU|0001628280-26-051443|nonDerivative|2026-07-30|SZKUTAK THOMAS J|M|Common Stock|48|529.97|D,2026-08-01 03:44:51+0000,INTU,INTUIT INC.,0000896878,4,2026-07-31,2026-07-30,0001628280-26-051443,https://www.sec.gov/Archives/edgar/data/896878/000162828026051443/wk-form4_1785530371.xml,nonDerivative,2026-07-30,M,Common Stock,48,529.97,25438.56,5720,D,SZKUTAK THOMAS J,Director,1,0,0,,SEC EDGAR
INTU|0001628280-26-051443|derivative|2026-07-30|SZKUTAK THOMAS J|M|Restricted Stock Units|48|529.97|D,2026-08-01 03:44:51+0000,INTU,INTUIT INC.,0000896878,4,2026-07-31,2026-07-30,0001628280-26-051443,https://www.sec.gov/Archives/edgar/data/896878/000162828026051443/wk-form4_1785530371.xml,derivative,2026-07-30,M,Restricted Stock Units,48,529.97,25438.56,0,D,SZKUTAK THOMAS J,Director,1,0,0,,SEC EDGAR
INTU|0001628280-26-051432|nonDerivative|2026-07-30|DALZELL RICHARD L|M|Common Stock|58|529.97|D,2026-08-01 03:44:51+0000,INTU,INTUIT INC.,0000896878,4,2026-07-31,2026-07-30,0001628280-26-051432,https://www.sec.gov/Archives/edgar/data/896878/000162828026051432/wk-form4_1785530129.xml,nonDerivative,2026-07-30,M,Common Stock,58,529.97,30738.260000000002,11816,D,DALZELL RICHARD L,Director,1,0,0,,SEC EDGAR
INTU|0001628280-26-051432|derivative|2026-07-30|DALZELL RICHARD L|M|Restricted Stock Units|58|529.97|D,2026-08-01 03:44:51+0000,INTU,INTUIT INC.,0000896878,4,2026-07-31,2026-07-30,0001628280-26-051432,https://www.sec.gov/Archives/edgar/data/896878/000162828026051432/wk-form4_1785530129.xml,derivative,2026-07-30,M,Restricted Stock Units,58,529.97,30738.260000000002,0,D,DALZELL RICHARD L,Director,1,0,0,,SEC EDGAR
HAS|0001828057-26-000014|nonDerivative|2026-07-31|GOETTER GINA M|S|Common Stock (Par Value $.50 per share)|8265|93.9627|D,2026-08-01 03:44:51+0000,HAS,"HASBRO, INC.",0000046080,4,2026-07-31,2026-07-31,0001828057-26-000014,https://www.sec.gov/Archives/edgar/data/46080/000182805726000014/wk-form4_1785530819.xml,nonDerivative,2026-07-31,S,Common Stock (Par Value $.50 per share),8265,93.9627,776601.7154999999,79839,D,GOETTER GINA M,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
GRMN|0001193125-26-329029|nonDerivative|2026-07-29|PEMBLE CLIFTON A|S|Registered Shares|4029|300|D,2026-08-01 03:44:51+0000,GRMN,GARMIN LTD,0001121788,4,2026-07-31,2026-07-29,0001193125-26-329029,https://www.sec.gov/Archives/edgar/data/1121788/000119312526329029/ownership.xml,nonDerivative,2026-07-29,S,Registered Shares,4029,300,1208700.0,120127,D,PEMBLE CLIFTON A,President and CEO,true,true,false,President and CEO,SEC EDGAR
GRMN|0001193125-26-329030|nonDerivative|2026-07-31|MAXFIELD JOSHUA H|S|Registered Shares|272|289.1515|D,2026-08-01 03:44:51+0000,GRMN,GARMIN LTD,0001121788,4,2026-07-31,2026-07-31,0001193125-26-329030,https://www.sec.gov/Archives/edgar/data/1121788/000119312526329030/ownership.xml,nonDerivative,2026-07-31,S,Registered Shares,272,289.1515,78649.208,15922,D,MAXFIELD JOSHUA H,"VP, General Counsel",false,true,false,"VP, General Counsel",SEC EDGAR
GRMN|0001193125-26-329030|nonDerivative|2026-07-31|MAXFIELD JOSHUA H|S|Registered Shares|438|291.3217|D,2026-08-01 03:44:51+0000,GRMN,GARMIN LTD,0001121788,4,2026-07-31,2026-07-31,0001193125-26-329030,https://www.sec.gov/Archives/edgar/data/1121788/000119312526329030/ownership.xml,nonDerivative,2026-07-31,S,Registered Shares,438,291.3217,127598.90460000001,15484,D,MAXFIELD JOSHUA H,"VP, General Counsel",false,true,false,"VP, General Counsel",SEC EDGAR
GRMN|0001193125-26-329030|nonDerivative|2026-07-31|MAXFIELD JOSHUA H|S|Registered Shares|442|292.1657|D,2026-08-01 03:44:51+0000,GRMN,GARMIN LTD,0001121788,4,2026-07-31,2026-07-31,0001193125-26-329030,https://www.sec.gov/Archives/edgar/data/1121788/000119312526329030/ownership.xml,nonDerivative,2026-07-31,S,Registered Shares,442,292.1657,129137.2394,15042,D,MAXFIELD JOSHUA H,"VP, General Counsel",false,true,false,"VP, General Counsel",SEC EDGAR
GRMN|0001193125-26-329031|nonDerivative|2026-07-31|Biddlecombe Sean|S|Registered Shares|986|292.8795|D,2026-08-01 03:44:51+0000,GRMN,GARMIN LTD,0001121788,4,2026-07-31,2026-07-31,0001193125-26-329031,https://www.sec.gov/Archives/edgar/data/1121788/000119312526329031/ownership.xml,nonDerivative,2026-07-31,S,Registered Shares,986,292.8795,288779.18700000003,6021,D,Biddlecombe Sean,"Managing Director, EMEA",false,true,false,"Managing Director, EMEA",SEC EDGAR
GPN|0001123360-26-000078|nonDerivative|2026-07-29|Bready Cameron M|M|Common Stock|9703|74.66|D,2026-08-01 03:44:51+0000,GPN,GLOBAL PAYMENTS INC,0001123360,4,2026-07-31,2026-07-29,0001123360-26-000078,https://www.sec.gov/Archives/edgar/data/1123360/000112336026000078/form4.xml,nonDerivative,2026-07-29,M,Common Stock,9703,74.66,724425.98,441661,D,Bready Cameron M,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
GPN|0001123360-26-000078|nonDerivative|2026-07-29|Bready Cameron M|F|Common Stock|8871|88.27|D,2026-08-01 03:44:51+0000,GPN,GLOBAL PAYMENTS INC,0001123360,4,2026-07-31,2026-07-29,0001123360-26-000078,https://www.sec.gov/Archives/edgar/data/1123360/000112336026000078/form4.xml,nonDerivative,2026-07-29,F,Common Stock,8871,88.27,783043.1699999999,432790,D,Bready Cameron M,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
GPN|0001123360-26-000078|derivative|2026-07-29|Bready Cameron M|M|Non-qualified Stock Option (Right to Buy)|9703|0|D,2026-08-01 03:44:51+0000,GPN,GLOBAL PAYMENTS INC,0001123360,4,2026-07-31,2026-07-29,0001123360-26-000078,https://www.sec.gov/Archives/edgar/data/1123360/000112336026000078/form4.xml,derivative,2026-07-29,M,Non-qualified Stock Option (Right to Buy),9703,0,0.0,0,D,Bready Cameron M,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
GM|0001878943-26-000006|nonDerivative|2026-07-29|Anderson Sterling|M|Common Stock|95951|0|D,2026-08-01 03:44:51+0000,GM,General Motors Co,0001467858,4,2026-07-31,2026-07-29,0001878943-26-000006,https://www.sec.gov/Archives/edgar/data/1467858/000187894326000006/wk-form4_1785530104.xml,nonDerivative,2026-07-29,M,Common Stock,95951,0,0.0,108673,D,Anderson Sterling,"Officer, Exective Vice President",0,1,0,Exective Vice President,SEC EDGAR
GM|0001878943-26-000006|nonDerivative|2026-07-29|Anderson Sterling|F|Common Stock|48820|89.40|D,2026-08-01 03:44:51+0000,GM,General Motors Co,0001467858,4,2026-07-31,2026-07-29,0001878943-26-000006,https://www.sec.gov/Archives/edgar/data/1467858/000187894326000006/wk-form4_1785530104.xml,nonDerivative,2026-07-29,F,Common Stock,48820,89.40,4364508.0,59853,D,Anderson Sterling,"Officer, Exective Vice President",0,1,0,Exective Vice President,SEC EDGAR
GM|0001878943-26-000006|derivative|2026-07-29|Anderson Sterling|M|Restricted Stock Units|95951|0|D,2026-08-01 03:44:51+0000,GM,General Motors Co,0001467858,4,2026-07-31,2026-07-29,0001878943-26-000006,https://www.sec.gov/Archives/edgar/data/1467858/000187894326000006/wk-form4_1785530104.xml,derivative,2026-07-29,M,Restricted Stock Units,95951,0,0.0,95951,D,Anderson Sterling,"Officer, Exective Vice President",0,1,0,Exective Vice President,SEC EDGAR
FICO|0001214659-26-009413|nonDerivative|2026-07-29|Manolis Eva|M|Common Stock|967|391.57|D,2026-08-01 03:44:51+0000,FICO,FAIR ISAAC CORP,0000814547,4,2026-07-31,2026-07-29,0001214659-26-009413,https://www.sec.gov/Archives/edgar/data/814547/000121465926009413/marketforms-73642.xml,nonDerivative,2026-07-29,M,Common Stock,967,391.57,378648.19,1465,D,Manolis Eva,,true,false,false,,SEC EDGAR
FICO|0001214659-26-009413|nonDerivative|2026-07-29|Manolis Eva|S|Common Stock|967|1400.00|D,2026-08-01 03:44:51+0000,FICO,FAIR ISAAC CORP,0000814547,4,2026-07-31,2026-07-29,0001214659-26-009413,https://www.sec.gov/Archives/edgar/data/814547/000121465926009413/marketforms-73642.xml,nonDerivative,2026-07-29,S,Common Stock,967,1400.00,1353800.0,498,D,Manolis Eva,,true,false,false,,SEC EDGAR
FICO|0001214659-26-009413|derivative|2026-07-29|Manolis Eva|M|Non-Qualified Stock Options (right to buy)|967|0.00|D,2026-08-01 03:44:51+0000,FICO,FAIR ISAAC CORP,0000814547,4,2026-07-31,2026-07-29,0001214659-26-009413,https://www.sec.gov/Archives/edgar/data/814547/000121465926009413/marketforms-73642.xml,derivative,2026-07-29,M,Non-Qualified Stock Options (right to buy),967,0.00,0.0,967,D,Manolis Eva,,true,false,false,,SEC EDGAR
ETR|0000065984-26-000285|nonDerivative|2026-07-30|CHAPMAN JASON|M|Common Stock|1734|54.24|D,2026-08-01 03:44:51+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-07-31,2026-07-30,0000065984-26-000285,https://www.sec.gov/Archives/edgar/data/65984/000006598426000285/form4.xml,nonDerivative,2026-07-30,M,Common Stock,1734,54.24,94052.16,18910,D,CHAPMAN JASON,"Officer, SVP Chief Tech & Bus Servs Off",,1,,SVP Chief Tech & Bus Servs Off,SEC EDGAR
ETR|0000065984-26-000285|nonDerivative|2026-07-30|CHAPMAN JASON|M|Common Stock|5140|49.54|D,2026-08-01 03:44:51+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-07-31,2026-07-30,0000065984-26-000285,https://www.sec.gov/Archives/edgar/data/65984/000006598426000285/form4.xml,nonDerivative,2026-07-30,M,Common Stock,5140,49.54,254635.6,24050,D,CHAPMAN JASON,"Officer, SVP Chief Tech & Bus Servs Off",,1,,SVP Chief Tech & Bus Servs Off,SEC EDGAR
