unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
YUM|0001041061-26-000151|nonDerivative|2026-08-03|Turner Christopher Lee|S|Common Stock|261|153.15|D,2026-08-04 03:31:26+0000,YUM,YUM BRANDS INC,0001041061,4,2026-08-03,2026-08-03,0001041061-26-000151,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000151/form4.xml,nonDerivative,2026-08-03,S,Common Stock,261,153.15,39972.15,63770.66,D,Turner Christopher Lee,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
YUM|0001041061-26-000153|nonDerivative|2026-08-03|Mezvinsky Scott|M|Common Stock|483|68.00|D,2026-08-04 03:31:26+0000,YUM,YUM BRANDS INC,0001041061,4,2026-08-03,2026-08-03,0001041061-26-000153,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000153/form4.xml,nonDerivative,2026-08-03,M,Common Stock,483,68.00,32844.0,483,D,Mezvinsky Scott,"Officer, KFC Division CEO",,1,,KFC Division CEO,SEC EDGAR
YUM|0001041061-26-000153|nonDerivative|2026-08-03|Mezvinsky Scott|D|Common Stock|215|153.28|D,2026-08-04 03:31:26+0000,YUM,YUM BRANDS INC,0001041061,4,2026-08-03,2026-08-03,0001041061-26-000153,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000153/form4.xml,nonDerivative,2026-08-03,D,Common Stock,215,153.28,32955.2,268,D,Mezvinsky Scott,"Officer, KFC Division CEO",,1,,KFC Division CEO,SEC EDGAR
YUM|0001041061-26-000153|nonDerivative|2026-08-03|Mezvinsky Scott|S|Common Stock|268|153.15|D,2026-08-04 03:31:26+0000,YUM,YUM BRANDS INC,0001041061,4,2026-08-03,2026-08-03,0001041061-26-000153,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000153/form4.xml,nonDerivative,2026-08-03,S,Common Stock,268,153.15,41044.200000000004,0,D,Mezvinsky Scott,"Officer, KFC Division CEO",,1,,KFC Division CEO,SEC EDGAR
YUM|0001041061-26-000153|derivative|2026-08-03|Mezvinsky Scott|M|Stock Appreciation Right|483|0|D,2026-08-04 03:31:26+0000,YUM,YUM BRANDS INC,0001041061,4,2026-08-03,2026-08-03,0001041061-26-000153,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000153/form4.xml,derivative,2026-08-03,M,Stock Appreciation Right,483,0,0.0,2410,D,Mezvinsky Scott,"Officer, KFC Division CEO",,1,,KFC Division CEO,SEC EDGAR
XYZ|0001628280-26-051998|nonDerivative|2026-07-30|Eisen Anthony Mathew|S|Class A  Common Stock|6000|81.17|D,2026-08-04 03:31:26+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-03,2026-07-30,0001628280-26-051998,https://www.sec.gov/Archives/edgar/data/1512673/000162828026051998/wk-form4_1785793083.xml,nonDerivative,2026-07-30,S,Class A  Common Stock,6000,81.17,487020.0,1625672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-051998|nonDerivative|2026-07-31|Eisen Anthony Mathew|S|Class A  Common Stock|6000|82.27|D,2026-08-04 03:31:26+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-03,2026-07-30,0001628280-26-051998,https://www.sec.gov/Archives/edgar/data/1512673/000162828026051998/wk-form4_1785793083.xml,nonDerivative,2026-07-31,S,Class A  Common Stock,6000,82.27,493620.0,1619672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-051998|nonDerivative|2026-08-03|Eisen Anthony Mathew|S|Class A  Common Stock|6000|81.52|D,2026-08-04 03:31:26+0000,XYZ,"Block, Inc.",0001512673,4,2026-08-03,2026-07-30,0001628280-26-051998,https://www.sec.gov/Archives/edgar/data/1512673/000162828026051998/wk-form4_1785793083.xml,nonDerivative,2026-08-03,S,Class A  Common Stock,6000,81.52,489120.0,1613672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
VZ|0002111103-26-000031|derivative|2026-07-30|Villanueva Rodriguez Alfonso|A|Phantom Stock (unitized)|79.477|13.16|I,2026-08-04 03:31:26+0000,VZ,VERIZON COMMUNICATIONS INC,0000732712,4,2026-08-03,2026-07-30,0002111103-26-000031,https://www.sec.gov/Archives/edgar/data/732712/000211110326000031/wk-form4_1785775385.xml,derivative,2026-07-30,A,Phantom Stock (unitized),79.477,13.16,1045.91732,6739.192,I,Villanueva Rodriguez Alfonso,"Officer, EVP and Group CEO-VZ Consumer",0,1,0,EVP and Group CEO-VZ Consumer,SEC EDGAR
VZ|0001950027-26-000040|derivative|2026-07-30|Venkatesh Vandana|A|Phantom Stock (unitized)|97.008|13.16|I,2026-08-04 03:31:26+0000,VZ,VERIZON COMMUNICATIONS INC,0000732712,4,2026-08-03,2026-07-30,0001950027-26-000040,https://www.sec.gov/Archives/edgar/data/732712/000195002726000040/wk-form4_1785775342.xml,derivative,2026-07-30,A,Phantom Stock (unitized),97.008,13.16,1276.62528,56906.604,I,Venkatesh Vandana,"Officer, EVP and Chief Legal Officer",0,1,0,EVP and Chief Legal Officer,SEC EDGAR
