unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
WDAY|0000938071-26-000053|nonDerivative|2026-09-10|DUFFIELD DAVID A|C|Class A Common Stock|100780|0|D,2026-09-15 04:45:58+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-14,2026-09-10,0000938071-26-000053,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000053/wk-form4_1789418523.xml,nonDerivative,2026-09-10,C,Class A Common Stock,100780,0,0.0,205829,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000053|nonDerivative|2026-09-10|DUFFIELD DAVID A|S|Class A Common Stock|27883|184.33|D,2026-09-15 04:45:58+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-14,2026-09-10,0000938071-26-000053,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000053/wk-form4_1789418523.xml,nonDerivative,2026-09-10,S,Class A Common Stock,27883,184.33,5139673.390000001,177946,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000053|nonDerivative|2026-09-10|DUFFIELD DAVID A|S|Class A Common Stock|23551|184.9847|D,2026-09-15 04:45:58+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-14,2026-09-10,0000938071-26-000053,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000053/wk-form4_1789418523.xml,nonDerivative,2026-09-10,S,Class A Common Stock,23551,184.9847,4356574.6697,154395,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000053|nonDerivative|2026-09-10|DUFFIELD DAVID A|S|Class A Common Stock|24465|186.2642|D,2026-09-15 04:45:58+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-14,2026-09-10,0000938071-26-000053,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000053/wk-form4_1789418523.xml,nonDerivative,2026-09-10,S,Class A Common Stock,24465,186.2642,4556953.653,129930,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000053|nonDerivative|2026-09-10|DUFFIELD DAVID A|S|Class A Common Stock|22388|187.0498|D,2026-09-15 04:45:58+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-14,2026-09-10,0000938071-26-000053,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000053/wk-form4_1789418523.xml,nonDerivative,2026-09-10,S,Class A Common Stock,22388,187.0498,4187670.9224,107542,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000053|nonDerivative|2026-09-10|DUFFIELD DAVID A|S|Class A Common Stock|2493|187.7466|D,2026-09-15 04:45:58+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-14,2026-09-10,0000938071-26-000053,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000053/wk-form4_1789418523.xml,nonDerivative,2026-09-10,S,Class A Common Stock,2493,187.7466,468052.2738,105049,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000053|derivative|2026-09-10|DUFFIELD DAVID A|C|Class B Common Stock|100780|0|D,2026-09-15 04:45:58+0000,WDAY,"Workday, Inc.",0001327811,4,2026-09-14,2026-09-10,0000938071-26-000053,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000053/wk-form4_1789418523.xml,derivative,2026-09-10,C,Class B Common Stock,100780,0,0.0,36167478,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WBD|0001287510-26-000009|nonDerivative|2026-09-11|FISHER RICHARD W|S|Series A Common Stock|6700|28.06|D,2026-09-15 04:45:58+0000,WBD,"Warner Bros. Discovery, Inc.",0001437107,4,2026-09-14,2026-09-11,0001287510-26-000009,https://www.sec.gov/Archives/edgar/data/1437107/000128751026000009/wk-form4_1789417661.xml,nonDerivative,2026-09-11,S,Series A Common Stock,6700,28.06,188002.0,52846,D,FISHER RICHARD W,Director,1,0,0,,SEC EDGAR
ULTA|0000897069-26-001776|nonDerivative|2026-09-11|Nagler Lorna|S|Common Stock|600|537.3126|D,2026-09-15 04:45:58+0000,ULTA,"Ulta Beauty, Inc.",0001403568,4,2026-09-14,2026-09-11,0000897069-26-001776,https://www.sec.gov/Archives/edgar/data/1403568/000089706926001776/form4.xml,nonDerivative,2026-09-11,S,Common Stock,600,537.3126,322387.56,7168,D,Nagler Lorna,,true,false,false,,SEC EDGAR
TTD|0001776828-26-000010|nonDerivative|2026-09-14|Olmstead Nathan|A|Class A  Common Stock|398262|0|D,2026-09-15 04:45:58+0000,TTD,"Trade Desk, Inc.",0001671933,4,2026-09-14,2026-09-14,0001776828-26-000010,https://www.sec.gov/Archives/edgar/data/1671933/000177682826000010/wk-form4_1789423840.xml,nonDerivative,2026-09-14,A,Class A  Common Stock,398262,0,0.0,644324,D,Olmstead Nathan,"Officer, Chief Financial Officer",0,1,0,Chief Financial Officer,SEC EDGAR
TTD|0001867888-26-000008|nonDerivative|2026-09-14|Kundra Vivek|A|Class A  Common Stock|724112|0|D,2026-09-15 04:45:58+0000,TTD,"Trade Desk, Inc.",0001671933,4,2026-09-14,2026-09-14,0001867888-26-000008,https://www.sec.gov/Archives/edgar/data/1671933/000186788826000008/wk-form4_1789423910.xml,nonDerivative,2026-09-14,A,Class A  Common Stock,724112,0,0.0,958192,D,Kundra Vivek,"Officer, Chief Operating Officer",0,1,0,Chief Operating Officer,SEC EDGAR
TTD|0001826731-26-000010|nonDerivative|2026-09-14|GRANT JAY R|A|Class A Common Stock|398262|0|D,2026-09-15 04:45:58+0000,TTD,"Trade Desk, Inc.",0001671933,4,2026-09-14,2026-09-14,0001826731-26-000010,https://www.sec.gov/Archives/edgar/data/1671933/000182673126000010/wk-form4_1789424023.xml,nonDerivative,2026-09-14,A,Class A Common Stock,398262,0,0.0,732728,D,GRANT JAY R,"Officer, Chief Legal Officer",0,1,0,Chief Legal Officer,SEC EDGAR
TTD|0002109272-26-000010|nonDerivative|2026-09-14|Davis Tahnil R.|A|Class A  Common Stock|217233|0|D,2026-09-15 04:45:58+0000,TTD,"Trade Desk, Inc.",0001671933,4,2026-09-14,2026-09-14,0002109272-26-000010,https://www.sec.gov/Archives/edgar/data/1671933/000210927226000010/wk-form4_1789424160.xml,nonDerivative,2026-09-14,A,Class A  Common Stock,217233,0,0.0,459941,D,Davis Tahnil R.,"Officer, Chief Accounting Officer & EVP",0,1,0,Chief Accounting Officer & EVP,SEC EDGAR
