unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
NXPI|0001782082-26-000002|nonDerivative|2026-06-10|Sundstrom Karl-Henrik|M|Common Stock|1035|0|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782082-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178208226000002/wk-form4_1781259015.xml,nonDerivative,2026-06-10,M,Common Stock,1035,0,0.0,5005.7926,D,Sundstrom Karl-Henrik,Director,1,0,0,,SEC EDGAR
NXPI|0001782082-26-000002|nonDerivative|2026-06-10|Sundstrom Karl-Henrik|F|Common Stock|513|297.41|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782082-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178208226000002/wk-form4_1781259015.xml,nonDerivative,2026-06-10,F,Common Stock,513,297.41,152571.33000000002,4492.7926,D,Sundstrom Karl-Henrik,Director,1,0,0,,SEC EDGAR
NXPI|0001782082-26-000002|derivative|2026-06-10|Sundstrom Karl-Henrik|M|Restricted Stock Unit|1035|0|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782082-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178208226000002/wk-form4_1781259015.xml,derivative,2026-06-10,M,Restricted Stock Unit,1035,0,0.0,0,D,Sundstrom Karl-Henrik,Director,1,0,0,,SEC EDGAR
NXPI|0001782082-26-000002|derivative|2026-06-10|Sundstrom Karl-Henrik|A|Restricted Stock Unit|841|0|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782082-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178208226000002/wk-form4_1781259015.xml,derivative,2026-06-10,A,Restricted Stock Unit,841,0,0.0,841,D,Sundstrom Karl-Henrik,Director,1,0,0,,SEC EDGAR
NXPI|0001782934-26-000002|nonDerivative|2026-06-10|Staiblin Jasmin|M|Common Stock|1035|0|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782934-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178293426000002/wk-form4_1781259059.xml,nonDerivative,2026-06-10,M,Common Stock,1035,0,0.0,7544,D,Staiblin Jasmin,Director,1,0,0,,SEC EDGAR
NXPI|0001782934-26-000002|nonDerivative|2026-06-10|Staiblin Jasmin|F|Common Stock|513|297.41|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782934-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178293426000002/wk-form4_1781259059.xml,nonDerivative,2026-06-10,F,Common Stock,513,297.41,152571.33000000002,7031,D,Staiblin Jasmin,Director,1,0,0,,SEC EDGAR
NXPI|0001782934-26-000002|derivative|2026-06-10|Staiblin Jasmin|M|Restricted Stock Unit|1035|0|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782934-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178293426000002/wk-form4_1781259059.xml,derivative,2026-06-10,M,Restricted Stock Unit,1035,0,0.0,0,D,Staiblin Jasmin,Director,1,0,0,,SEC EDGAR
NXPI|0001782934-26-000002|derivative|2026-06-10|Staiblin Jasmin|A|Restricted Stock Unit|841|0|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782934-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178293426000002/wk-form4_1781259059.xml,derivative,2026-06-10,A,Restricted Stock Unit,841,0,0.0,841,D,Staiblin Jasmin,Director,1,0,0,,SEC EDGAR
NXPI|0001782289-26-000002|nonDerivative|2026-06-10|Southern Julie|M|Common Stock|1035|0|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782289-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178228926000002/wk-form4_1781259041.xml,nonDerivative,2026-06-10,M,Common Stock,1035,0,0.0,12972,D,Southern Julie,Director,1,0,0,,SEC EDGAR
NXPI|0001782289-26-000002|nonDerivative|2026-06-10|Southern Julie|F|Common Stock|513|297.41|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782289-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178228926000002/wk-form4_1781259041.xml,nonDerivative,2026-06-10,F,Common Stock,513,297.41,152571.33000000002,12459,D,Southern Julie,Director,1,0,0,,SEC EDGAR
NXPI|0001782289-26-000002|derivative|2026-06-10|Southern Julie|M|Restricted Stock Unit|1035|0|D,2026-06-12 12:41:02+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-12,2026-06-10,0001782289-26-000002,https://www.sec.gov/Archives/edgar/data/1413447/000178228926000002/wk-form4_1781259041.xml,derivative,2026-06-10,M,Restricted Stock Unit,1035,0,0.0,0,D,Southern Julie,Director,1,0,0,,SEC EDGAR
