unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
"WYNN|0002045912-26-000010|nonDerivative|2026-09-15|KRUM JACQUI|F|Common Stock, par value $0.01 per share|2171|86.71|D",2026-09-17 04:45:13+0000,WYNN,WYNN RESORTS LTD,0001174922,4,2026-09-16,2026-09-15,0002045912-26-000010,https://www.sec.gov/Archives/edgar/data/1174922/000204591226000010/wk-form4_1789603167.xml,nonDerivative,2026-09-15,F,"Common Stock, par value $0.01 per share",2171,86.71,188247.40999999997,49130,D,KRUM JACQUI,"Officer, EVP and General Counsel",0,1,0,EVP and General Counsel,SEC EDGAR
WBD|0001646563-26-000007|nonDerivative|2026-09-14|Locke Lori C.|S|Series A Common Stock|29115|28.13|D,2026-09-17 04:45:13+0000,WBD,"Warner Bros. Discovery, Inc.",0001437107,4,2026-09-16,2026-09-14,0001646563-26-000007,https://www.sec.gov/Archives/edgar/data/1437107/000164656326000007/wk-form4_1789554021.xml,nonDerivative,2026-09-14,S,Series A Common Stock,29115,28.13,819004.95,86906,D,Locke Lori C.,"Officer, Chief Accounting Officer",0,1,0,Chief Accounting Officer,SEC EDGAR
VZ|0001760581-26-000056|nonDerivative|2026-09-15|Malady Kyle|S|Common Stock|1100|51.19|D,2026-09-17 04:45:13+0000,VZ,VERIZON COMMUNICATIONS INC,0000732712,4,2026-09-16,2026-09-15,0001760581-26-000056,https://www.sec.gov/Archives/edgar/data/732712/000176058126000056/wk-form4_1789587778.xml,nonDerivative,2026-09-15,S,Common Stock,1100,51.19,56309.0,105466,D,Malady Kyle,"Officer, EVP and Group CEO-VZ Business",0,1,0,EVP and Group CEO-VZ Business,SEC EDGAR
VRSN|0001940987-26-000020|nonDerivative|2026-09-15|McPherson Danny R|F|Common Stock|20.6884|297.26|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001940987-26-000020,https://www.sec.gov/Archives/edgar/data/1014473/000194098726000020/wk-form4_1789597118.xml,nonDerivative,2026-09-15,F,Common Stock,20.6884,297.26,6149.833784,33804.4209,D,McPherson Danny R,"Officer, EVP - Technology & CSO",0,1,0,EVP - Technology & CSO,SEC EDGAR
VRSN|0001530819-26-000016|nonDerivative|2026-09-15|CALYS JOHN|F|Common Stock|72.38|297.26|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001530819-26-000016,https://www.sec.gov/Archives/edgar/data/1014473/000153081926000016/wk-form4_1789597455.xml,nonDerivative,2026-09-15,F,Common Stock,72.38,297.26,21515.678799999998,30886.239,D,CALYS JOHN,"Officer, EVP, Chief Financial Officer",0,1,0,"EVP, Chief Financial Officer",SEC EDGAR
VRSN|0001204816-26-000044|nonDerivative|2026-09-15|BIDZOS D JAMES|S|Common Stock|1400|295.255|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001204816-26-000044,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000044/wk-form4_1789596505.xml,nonDerivative,2026-09-15,S,Common Stock,1400,295.255,413357.0,390227.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000044|nonDerivative|2026-09-15|BIDZOS D JAMES|S|Common Stock|399|296.3239|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001204816-26-000044,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000044/wk-form4_1789596505.xml,nonDerivative,2026-09-15,S,Common Stock,399,296.3239,118233.2361,389828.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000044|nonDerivative|2026-09-15|BIDZOS D JAMES|S|Common Stock|901|297.3544|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001204816-26-000044,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000044/wk-form4_1789596505.xml,nonDerivative,2026-09-15,S,Common Stock,901,297.3544,267916.3144,388927.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000044|nonDerivative|2026-09-15|BIDZOS D JAMES|S|Common Stock|600|298.6767|D,2026-09-17 04:45:13+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-16,2026-09-15,0001204816-26-000044,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000044/wk-form4_1789596505.xml,nonDerivative,2026-09-15,S,Common Stock,600,298.6767,179206.02,388327.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSK|0001193125-26-393144|nonDerivative|2026-09-15|Mann Elizabeth|S|Common Stock|400|184.91|D,2026-09-17 04:45:13+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-09-16,2026-09-15,0001193125-26-393144,https://www.sec.gov/Archives/edgar/data/1442145/000119312526393144/ownership.xml,nonDerivative,2026-09-15,S,Common Stock,400,184.91,73964.0,17984,D,Mann Elizabeth,Chief Financial Officer,false,true,false,Chief Financial Officer,SEC EDGAR
TTWO|0000946581-26-000082|nonDerivative|2026-09-15|Siminoff Ellen F|S|Common Stock|167|219.53|I,2026-09-17 04:45:13+0000,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,4,2026-09-16,2026-09-15,0000946581-26-000082,https://www.sec.gov/Archives/edgar/data/946581/000094658126000082/form4.xml,nonDerivative,2026-09-15,S,Common Stock,167,219.53,36661.51,1499,I,Siminoff Ellen F,Director,1,,,,SEC EDGAR
TTD|0001671445-26-000010|derivative|2026-09-14|Green Jeffrey Terry|A|Employee Stock Option (Right to Buy)|7000000|0|D,2026-09-17 04:45:13+0000,TTD,"Trade Desk, Inc.",0001671933,4,2026-09-16,2026-09-14,0001671445-26-000010,https://www.sec.gov/Archives/edgar/data/1671933/000167144526000010/wk-form4_1789596927.xml,derivative,2026-09-14,A,Employee Stock Option (Right to Buy),7000000,0,0.0,7000000,D,Green Jeffrey Terry,"Director, Officer, 10% Owner, President and CEO",1,1,1,President and CEO,SEC EDGAR
TPL|0001437749-26-030537|nonDerivative|2026-09-15|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|370.59|D,2026-09-17 04:45:13+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-09-16,2026-09-15,0001437749-26-030537,https://www.sec.gov/Archives/edgar/data/1811074/000143774926030537/rdgdoc.xml,nonDerivative,2026-09-15,P,Common Stock,1,370.59,370.59,3390847,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
TER|0000904454-26-000485|nonDerivative|2026-09-15|Smith Gregory Stephen|S|Common Stock|4000|337.83|D,2026-09-17 04:45:13+0000,TER,"TERADYNE, INC",0000097210,4,2026-09-16,2026-09-15,0000904454-26-000485,https://www.sec.gov/Archives/edgar/data/97210/000090445426000485/ownership.xml,nonDerivative,2026-09-15,S,Common Stock,4000,337.83,1351320.0,108495.4075,D,Smith Gregory Stephen,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
TER|0000904454-26-000483|nonDerivative|2026-09-15|MATZ MARILYN|S|Common Stock|800|337.83|D,2026-09-17 04:45:13+0000,TER,"TERADYNE, INC",0000097210,4,2026-09-16,2026-09-15,0000904454-26-000483,https://www.sec.gov/Archives/edgar/data/97210/000090445426000483/edgar.xml,nonDerivative,2026-09-15,S,Common Stock,800,337.83,270264.0,14240.675,D,MATZ MARILYN,Director,1,0,0,,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|M|Common Stock|3900.00|284.97|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,M,Common Stock,3900.00,284.97,1111383.0,7500.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|310.00|1082.9639|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,310.00,1082.9639,335718.809,7190.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|170.00|1083.6729|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,170.00,1083.6729,184224.393,7020.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|240.00|1084.8696|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,240.00,1084.8696,260368.704,6780.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|110.00|1086.2727|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,110.00,1086.2727,119489.997,6670.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|120.00|1087.4892|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,120.00,1087.4892,130498.704,6550.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|10.00|1088.06|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,10.00,1088.06,10880.599999999999,6540.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|70.00|1090.0571|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,70.00,1090.0571,76303.997,6470.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|100.00|1091.0018|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,100.00,1091.0018,109100.18,6370.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|170.00|1092.1284|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,170.00,1092.1284,185661.828,6200.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|282.00|1093.1036|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,282.00,1093.1036,308255.2152,5918.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|383.00|1094.0605|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,383.00,1094.0605,419025.1715,5535.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|225.00|1095.1079|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,225.00,1095.1079,246399.2775,5310.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|196.00|1096.1685|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,196.00,1096.1685,214849.026,5114.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|294.00|1097.2633|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,294.00,1097.2633,322595.41020000004,4820.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|150.00|1098.407|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,150.00,1098.407,164761.05,4670.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|90.00|1099.1429|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,90.00,1099.1429,98922.861,4580.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|60.00|1100.4055|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,60.00,1100.4055,66024.33,4520.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|166.00|1101.5243|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,166.00,1101.5243,182853.0338,4354.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|274.00|1102.4893|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,274.00,1102.4893,302082.0682,4080.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|210.00|1103.4377|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,210.00,1103.4377,231721.917,3870.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|125.00|1104.5772|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,125.00,1104.5772,138072.15,3745.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|5.00|1105.284|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,5.00,1105.284,5526.42,3740.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|40.00|1106.6873|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,40.00,1106.6873,44267.492,3700.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|30.00|1108.3433|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,30.00,1108.3433,33250.299,3670.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|30.00|1112.3767|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,30.00,1112.3767,33371.301,3640.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|20.00|1113.37|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,20.00,1113.37,22267.399999999998,3620.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|nonDerivative|2026-09-15|Reiss Joel|S|Common Stock|20.00|1118.995|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,nonDerivative,2026-09-15,S,Common Stock,20.00,1118.995,22379.899999999998,3600.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
TDG|0001656109-26-000008|derivative|2026-09-15|Reiss Joel|M|Stock Option|3900.00|0.00|D,2026-09-17 04:45:13+0000,TDG,TransDigm Group INC,0001260221,4,2026-09-16,2026-09-15,0001656109-26-000008,https://www.sec.gov/Archives/edgar/data/1260221/000165610926000008/primarydocument.xml,derivative,2026-09-15,M,Stock Option,3900.00,0.00,0.0,4100.00,D,Reiss Joel,Co-Chief Operating Officer,false,true,false,Co-Chief Operating Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-14|Teh Ban Seng|M|Ordinary Shares|52730|0|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-14,M,Ordinary Shares,52730,0,0.0,58540,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-15|Teh Ban Seng|S|Ordinary Shares|914|771.3753|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-15,S,Ordinary Shares,914,771.3753,705037.0242,57626,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-15|Teh Ban Seng|S|Ordinary Shares|3451|772.6537|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-15,S,Ordinary Shares,3451,772.6537,2666427.9187,54175,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-15|Teh Ban Seng|S|Ordinary Shares|1717|774.0138|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-15,S,Ordinary Shares,1717,774.0138,1328981.6945999998,52458,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-15|Teh Ban Seng|S|Ordinary Shares|2315|775.0148|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-15,S,Ordinary Shares,2315,775.0148,1794159.262,50143,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-15|Teh Ban Seng|S|Ordinary Shares|3242|776.1967|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-15,S,Ordinary Shares,3242,776.1967,2516429.7013999997,46901,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-15|Teh Ban Seng|S|Ordinary Shares|3987|777.2171|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-15,S,Ordinary Shares,3987,777.2171,3098764.5777,42914,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-15|Teh Ban Seng|S|Ordinary Shares|7259|778.3464|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-15,S,Ordinary Shares,7259,778.3464,5650016.5176,35655,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
STX|0001137789-26-000251|nonDerivative|2026-09-15|Teh Ban Seng|S|Ordinary Shares|6682|779.2653|D,2026-09-17 04:45:13+0000,STX,Seagate Technology Holdings plc,0001137789,4,2026-09-16,2026-09-14,0001137789-26-000251,https://www.sec.gov/Archives/edgar/data/1137789/000113778926000251/wk-form4_1789589411.xml,nonDerivative,2026-09-15,S,Ordinary Shares,6682,779.2653,5207050.7346,28973,D,Teh Ban Seng,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
