unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
TPL|0001437749-26-023269|nonDerivative|2026-07-09|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|400.13|D,2026-07-12 03:49:35+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-07-10,2026-07-09,0001437749-26-023269,https://www.sec.gov/Archives/edgar/data/1811074/000143774926023269/rdgdoc.xml,nonDerivative,2026-07-09,P,Common Stock,1,400.13,400.13,3263672,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
PAYC|0001193125-26-300893|nonDerivative|2026-07-08|KERBER WILLIAM XAVIER III|A|Common Stock|1353|0|D,2026-07-12 03:49:35+0000,PAYC,"Paycom Software, Inc.",0001590955,4,2026-07-10,2026-07-08,0001193125-26-300893,https://www.sec.gov/Archives/edgar/data/1590955/000119312526300893/ownership.xml,nonDerivative,2026-07-08,A,Common Stock,1353,0,0.0,6341,D,KERBER WILLIAM XAVIER III,,true,false,false,,SEC EDGAR
PAYC|0001193125-26-300891|nonDerivative|2026-07-08|Boelte Craig E.|A|Common Stock|1353|0|D,2026-07-12 03:49:35+0000,PAYC,"Paycom Software, Inc.",0001590955,4,2026-07-10,2026-07-08,0001193125-26-300891,https://www.sec.gov/Archives/edgar/data/1590955/000119312526300891/ownership.xml,nonDerivative,2026-07-08,A,Common Stock,1353,0,0.0,176353,D,Boelte Craig E.,,true,false,false,,SEC EDGAR
MRNA|0001682852-26-000139|derivative|2026-07-08|McDonnell Michael R.|A|Stock Option (Right to Buy)|7415|0|D,2026-07-12 03:49:35+0000,MRNA,"Moderna, Inc.",0001682852,4,2026-07-10,2026-07-08,0001682852-26-000139,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000139/form4.xml,derivative,2026-07-08,A,Stock Option (Right to Buy),7415,0,0.0,7415,D,McDonnell Michael R.,Director,1,,,,SEC EDGAR
MRNA|0001682852-26-000139|derivative|2026-07-08|McDonnell Michael R.|A|Restricted Stock Units|1618|0|D,2026-07-12 03:49:35+0000,MRNA,"Moderna, Inc.",0001682852,4,2026-07-10,2026-07-08,0001682852-26-000139,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000139/form4.xml,derivative,2026-07-08,A,Restricted Stock Units,1618,0,0.0,1618,D,McDonnell Michael R.,Director,1,,,,SEC EDGAR
MRNA|0001682852-26-000139|derivative|2026-07-08|McDonnell Michael R.|A|Restricted Stock Units|5733|0|D,2026-07-12 03:49:35+0000,MRNA,"Moderna, Inc.",0001682852,4,2026-07-10,2026-07-08,0001682852-26-000139,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000139/form4.xml,derivative,2026-07-08,A,Restricted Stock Units,5733,0,0.0,5733,D,McDonnell Michael R.,Director,1,,,,SEC EDGAR
MNST|0001179801-26-000005|derivative|2026-07-08|JACKSON JEANNE P|A|Deferred Stock Units|302|95.15|D,2026-07-12 03:49:35+0000,MNST,Monster Beverage Corp,0000865752,4,2026-07-10,2026-07-08,0001179801-26-000005,https://www.sec.gov/Archives/edgar/data/865752/000117980126000005/form4-07102026_050709.xml,derivative,2026-07-08,A,Deferred Stock Units,302,95.15,28735.300000000003,38274,D,JACKSON JEANNE P,,true,false,false,,SEC EDGAR
MNST|0001887199-26-000004|derivative|2026-07-08|Hall Tiffany M.|A|Deferred Stock Units|122|95.15|D,2026-07-12 03:49:35+0000,MNST,Monster Beverage Corp,0000865752,4,2026-07-10,2026-07-08,0001887199-26-000004,https://www.sec.gov/Archives/edgar/data/865752/000188719926000004/form4-07102026_050711.xml,derivative,2026-07-08,A,Deferred Stock Units,122,95.15,11608.300000000001,16737,D,Hall Tiffany M.,,true,false,false,,SEC EDGAR
MNST|0001903741-26-000004|derivative|2026-07-08|Demel Ana|A|Deferred Stock Units|243|95.15|D,2026-07-12 03:49:35+0000,MNST,Monster Beverage Corp,0000865752,4,2026-07-10,2026-07-08,0001903741-26-000004,https://www.sec.gov/Archives/edgar/data/865752/000190374126000004/form4-07102026_050713.xml,derivative,2026-07-08,A,Deferred Stock Units,243,95.15,23121.45,20107,D,Demel Ana,,true,false,false,,SEC EDGAR
LOW|0000060667-26-000106|derivative|2026-07-09|Taylor Colleen|A|Phantom Stock|58.685|213|D,2026-07-12 03:49:35+0000,LOW,LOWES COMPANIES INC,0000060667,4,2026-07-10,2026-07-09,0000060667-26-000106,https://www.sec.gov/Archives/edgar/data/60667/000006066726000106/wk-form4_1783714892.xml,derivative,2026-07-09,A,Phantom Stock,58.685,213,12499.905,1432.828,D,Taylor Colleen,Director,1,0,0,,SEC EDGAR
