unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
YUM|0001041061-26-000143|nonDerivative|2026-07-01|Turner Christopher Lee|S|Common Stock|250|160.42|D,2026-07-02 04:17:10+0000,YUM,YUM BRANDS INC,0001041061,4,2026-07-01,2026-07-01,0001041061-26-000143,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000143/form4.xml,nonDerivative,2026-07-01,S,Common Stock,250,160.42,40105.0,64031.66,D,Turner Christopher Lee,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
YUM|0001041061-26-000145|nonDerivative|2026-07-01|Powell Aaron|S|Common Stock|6001|160.42|D,2026-07-02 04:17:10+0000,YUM,YUM BRANDS INC,0001041061,4,2026-07-01,2026-07-01,0001041061-26-000145,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000145/form4.xml,nonDerivative,2026-07-01,S,Common Stock,6001,160.42,962680.4199999999,12003.48,D,Powell Aaron,"Officer, CEO - Pizza Hut",,1,,CEO - Pizza Hut,SEC EDGAR
YUM|0001041061-26-000146|nonDerivative|2026-07-01|Mezvinsky Scott|M|Common Stock|483|68.00|D,2026-07-02 04:17:10+0000,YUM,YUM BRANDS INC,0001041061,4,2026-07-01,2026-07-01,0001041061-26-000146,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000146/form4.xml,nonDerivative,2026-07-01,M,Common Stock,483,68.00,32844.0,483,D,Mezvinsky Scott,"Officer, KFC Division CEO",,1,,KFC Division CEO,SEC EDGAR
YUM|0001041061-26-000146|nonDerivative|2026-07-01|Mezvinsky Scott|D|Common Stock|206|159.86|D,2026-07-02 04:17:10+0000,YUM,YUM BRANDS INC,0001041061,4,2026-07-01,2026-07-01,0001041061-26-000146,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000146/form4.xml,nonDerivative,2026-07-01,D,Common Stock,206,159.86,32931.16,277,D,Mezvinsky Scott,"Officer, KFC Division CEO",,1,,KFC Division CEO,SEC EDGAR
YUM|0001041061-26-000146|nonDerivative|2026-07-01|Mezvinsky Scott|S|Common Stock|277|160.42|D,2026-07-02 04:17:10+0000,YUM,YUM BRANDS INC,0001041061,4,2026-07-01,2026-07-01,0001041061-26-000146,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000146/form4.xml,nonDerivative,2026-07-01,S,Common Stock,277,160.42,44436.34,0,D,Mezvinsky Scott,"Officer, KFC Division CEO",,1,,KFC Division CEO,SEC EDGAR
YUM|0001041061-26-000146|derivative|2026-07-01|Mezvinsky Scott|M|Stock Appreciation Right|483|0|D,2026-07-02 04:17:10+0000,YUM,YUM BRANDS INC,0001041061,4,2026-07-01,2026-07-01,0001041061-26-000146,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000146/form4.xml,derivative,2026-07-01,M,Stock Appreciation Right,483,0,0.0,2893,D,Mezvinsky Scott,"Officer, KFC Division CEO",,1,,KFC Division CEO,SEC EDGAR
WST|0000105770-26-000085|derivative|2026-06-30|HAUGEN JANET BRUTSCHEA|A|Phantom Stock Unit|46|359|D,2026-07-02 04:17:10+0000,WST,WEST PHARMACEUTICAL SERVICES INC,0000105770,4,2026-07-01,2026-06-30,0000105770-26-000085,https://www.sec.gov/Archives/edgar/data/105770/000010577026000085/wk-form4_1782947185.xml,derivative,2026-06-30,A,Phantom Stock Unit,46,359,16514.0,306.678,D,HAUGEN JANET BRUTSCHEA,Director,1,0,0,,SEC EDGAR
WDAY|0000938071-26-000042|nonDerivative|2026-06-30|DUFFIELD DAVID A|C|Class A Common Stock|107500|0|D,2026-07-02 04:17:10+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-01,2026-06-30,0000938071-26-000042,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000042/wk-form4_1782939741.xml,nonDerivative,2026-06-30,C,Class A Common Stock,107500,0,0.0,212549,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000042|nonDerivative|2026-06-30|DUFFIELD DAVID A|S|Class A Common Stock|6100|119.9999|D,2026-07-02 04:17:10+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-01,2026-06-30,0000938071-26-000042,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000042/wk-form4_1782939741.xml,nonDerivative,2026-06-30,S,Class A Common Stock,6100,119.9999,731999.39,206449,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000042|nonDerivative|2026-06-30|DUFFIELD DAVID A|S|Class A Common Stock|16870|121.0628|D,2026-07-02 04:17:10+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-01,2026-06-30,0000938071-26-000042,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000042/wk-form4_1782939741.xml,nonDerivative,2026-06-30,S,Class A Common Stock,16870,121.0628,2042329.436,189579,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000042|nonDerivative|2026-06-30|DUFFIELD DAVID A|S|Class A Common Stock|53176|122.1748|D,2026-07-02 04:17:10+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-01,2026-06-30,0000938071-26-000042,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000042/wk-form4_1782939741.xml,nonDerivative,2026-06-30,S,Class A Common Stock,53176,122.1748,6496767.1648,136403,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000042|nonDerivative|2026-06-30|DUFFIELD DAVID A|S|Class A Common Stock|31354|122.7298|D,2026-07-02 04:17:10+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-01,2026-06-30,0000938071-26-000042,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000042/wk-form4_1782939741.xml,nonDerivative,2026-06-30,S,Class A Common Stock,31354,122.7298,3848070.1492,105049,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000042|derivative|2026-06-30|DUFFIELD DAVID A|C|Class B Common Stock|107500|0|D,2026-07-02 04:17:10+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-01,2026-06-30,0000938071-26-000042,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000042/wk-form4_1782939741.xml,derivative,2026-06-30,C,Class B Common Stock,107500,0,0.0,36668834,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
