unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
XYZ|0001628280-26-048060|nonDerivative|2026-07-09|Eisen Anthony Mathew|S|Class A  Common Stock|6000|76.14|D,2026-07-14 03:26:44+0000,XYZ,"Block, Inc.",0001512673,4,2026-07-13,2026-07-09,0001628280-26-048060,https://www.sec.gov/Archives/edgar/data/1512673/000162828026048060/wk-form4_1783980773.xml,nonDerivative,2026-07-09,S,Class A  Common Stock,6000,76.14,456840.0,1850672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-048060|nonDerivative|2026-07-10|Eisen Anthony Mathew|S|Class A  Common Stock|6000|78.91|D,2026-07-14 03:26:44+0000,XYZ,"Block, Inc.",0001512673,4,2026-07-13,2026-07-09,0001628280-26-048060,https://www.sec.gov/Archives/edgar/data/1512673/000162828026048060/wk-form4_1783980773.xml,nonDerivative,2026-07-10,S,Class A  Common Stock,6000,78.91,473460.0,1844672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
XYZ|0001628280-26-048060|nonDerivative|2026-07-13|Eisen Anthony Mathew|S|Class A  Common Stock|6000|78.35|D,2026-07-14 03:26:44+0000,XYZ,"Block, Inc.",0001512673,4,2026-07-13,2026-07-09,0001628280-26-048060,https://www.sec.gov/Archives/edgar/data/1512673/000162828026048060/wk-form4_1783980773.xml,nonDerivative,2026-07-13,S,Class A  Common Stock,6000,78.35,470099.99999999994,1838672,D,Eisen Anthony Mathew,Director,1,0,0,,SEC EDGAR
WDAY|0000938071-26-000046|nonDerivative|2026-07-09|DUFFIELD DAVID A|C|Class A Common Stock|107500|0|D,2026-07-14 03:26:44+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-13,2026-07-09,0000938071-26-000046,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000046/wk-form4_1783974501.xml,nonDerivative,2026-07-09,C,Class A Common Stock,107500,0,0.0,212549,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000046|nonDerivative|2026-07-09|DUFFIELD DAVID A|S|Class A Common Stock|1400|130.6314|D,2026-07-14 03:26:44+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-13,2026-07-09,0000938071-26-000046,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000046/wk-form4_1783974501.xml,nonDerivative,2026-07-09,S,Class A Common Stock,1400,130.6314,182883.96000000002,211149,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000046|nonDerivative|2026-07-09|DUFFIELD DAVID A|S|Class A Common Stock|1800|132.0744|D,2026-07-14 03:26:44+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-13,2026-07-09,0000938071-26-000046,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000046/wk-form4_1783974501.xml,nonDerivative,2026-07-09,S,Class A Common Stock,1800,132.0744,237733.91999999998,209349,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000046|nonDerivative|2026-07-09|DUFFIELD DAVID A|S|Class A Common Stock|1700|133.1206|D,2026-07-14 03:26:44+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-13,2026-07-09,0000938071-26-000046,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000046/wk-form4_1783974501.xml,nonDerivative,2026-07-09,S,Class A Common Stock,1700,133.1206,226305.02,207649,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000046|nonDerivative|2026-07-09|DUFFIELD DAVID A|S|Class A Common Stock|500|134.012|D,2026-07-14 03:26:44+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-13,2026-07-09,0000938071-26-000046,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000046/wk-form4_1783974501.xml,nonDerivative,2026-07-09,S,Class A Common Stock,500,134.012,67006.0,207149,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000046|nonDerivative|2026-07-09|DUFFIELD DAVID A|S|Class A Common Stock|14299|135.4823|D,2026-07-14 03:26:44+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-13,2026-07-09,0000938071-26-000046,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000046/wk-form4_1783974501.xml,nonDerivative,2026-07-09,S,Class A Common Stock,14299,135.4823,1937261.4077,192850,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
WDAY|0000938071-26-000046|nonDerivative|2026-07-09|DUFFIELD DAVID A|S|Class A Common Stock|27858|136.4112|D,2026-07-14 03:26:44+0000,WDAY,"Workday, Inc.",0001327811,4,2026-07-13,2026-07-09,0000938071-26-000046,https://www.sec.gov/Archives/edgar/data/1327811/000093807126000046/wk-form4_1783974501.xml,nonDerivative,2026-07-09,S,Class A Common Stock,27858,136.4112,3800143.2096,164992,D,DUFFIELD DAVID A,10% Owner,0,0,1,,SEC EDGAR
