unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
WYNN|0001104659-26-087109|derivative|2026-07-23|FERTITTA TILMAN J|S|Call Option (obligation to sell)|300000|3.834|I,2026-07-28 03:29:07+0000,WYNN,WYNN RESORTS LTD,0001174922,4,2026-07-27,2026-07-23,0001104659-26-087109,https://www.sec.gov/Archives/edgar/data/1174922/000110465926087109/tm2621364-1_4seq1.xml,derivative,2026-07-23,S,Call Option (obligation to sell),300000,3.834,1150200.0,300000,I,FERTITTA TILMAN J,10% Owner,0,0,1,,SEC EDGAR
WYNN|0001104659-26-087109|derivative|2026-07-24|FERTITTA TILMAN J|S|Call Option (obligation to sell)|300000|3.9640|I,2026-07-28 03:29:07+0000,WYNN,WYNN RESORTS LTD,0001174922,4,2026-07-27,2026-07-23,0001104659-26-087109,https://www.sec.gov/Archives/edgar/data/1174922/000110465926087109/tm2621364-1_4seq1.xml,derivative,2026-07-24,S,Call Option (obligation to sell),300000,3.9640,1189200.0,300000,I,FERTITTA TILMAN J,10% Owner,0,0,1,,SEC EDGAR
WAB|0000943452-26-000005|nonDerivative|2026-07-24|Gebhardt Eric|S|Common Stock - Direct|1107|297.386|D,2026-07-28 03:29:07+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-07-27,2026-07-24,0000943452-26-000005,https://www.sec.gov/Archives/edgar/data/943452/000094345226000005/wk-form4_1785179570.xml,nonDerivative,2026-07-24,S,Common Stock - Direct,1107,297.386,329206.302,25146,D,Gebhardt Eric,"Officer, Chief Technology Officer",0,1,0,Chief Technology Officer,SEC EDGAR
WAB|0000943452-26-000005|nonDerivative|2026-07-24|Gebhardt Eric|S|Common Stock - Direct|2040|298.8574|D,2026-07-28 03:29:07+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-07-27,2026-07-24,0000943452-26-000005,https://www.sec.gov/Archives/edgar/data/943452/000094345226000005/wk-form4_1785179570.xml,nonDerivative,2026-07-24,S,Common Stock - Direct,2040,298.8574,609669.096,23106,D,Gebhardt Eric,"Officer, Chief Technology Officer",0,1,0,Chief Technology Officer,SEC EDGAR
WAB|0000943452-26-000005|nonDerivative|2026-07-24|Gebhardt Eric|S|Common Stock - Direct|2353|299.6913|D,2026-07-28 03:29:07+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-07-27,2026-07-24,0000943452-26-000005,https://www.sec.gov/Archives/edgar/data/943452/000094345226000005/wk-form4_1785179570.xml,nonDerivative,2026-07-24,S,Common Stock - Direct,2353,299.6913,705173.6289,20753,D,Gebhardt Eric,"Officer, Chief Technology Officer",0,1,0,Chief Technology Officer,SEC EDGAR
WAB|0000943452-26-000005|nonDerivative|2026-07-24|Gebhardt Eric|S|Common Stock - Direct|1600|300.4941|D,2026-07-28 03:29:07+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-07-27,2026-07-24,0000943452-26-000005,https://www.sec.gov/Archives/edgar/data/943452/000094345226000005/wk-form4_1785179570.xml,nonDerivative,2026-07-24,S,Common Stock - Direct,1600,300.4941,480790.56,19153,D,Gebhardt Eric,"Officer, Chief Technology Officer",0,1,0,Chief Technology Officer,SEC EDGAR
WAB|0000943452-26-000004|nonDerivative|2026-07-24|Gaur Sameer|S|Common Stock|1000|300.64|D,2026-07-28 03:29:07+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-07-27,2026-07-24,0000943452-26-000004,https://www.sec.gov/Archives/edgar/data/943452/000094345226000004/wk-form4_1785179516.xml,nonDerivative,2026-07-24,S,Common Stock,1000,300.64,300640.0,10985,D,Gaur Sameer,"Officer, Pres., Global Freight Services",0,1,0,"Pres., Global Freight Services",SEC EDGAR
WAB|0000943452-26-000007|nonDerivative|2026-07-24|DeNinno David L|S|Common Stock - Direct|3000|301.3076|D,2026-07-28 03:29:07+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-07-27,2026-07-24,0000943452-26-000007,https://www.sec.gov/Archives/edgar/data/943452/000094345226000007/wk-form4_1785179680.xml,nonDerivative,2026-07-24,S,Common Stock - Direct,3000,301.3076,903922.7999999999,55128,D,DeNinno David L,"Officer, Exec VP, General Counsel, Sec.",0,1,0,"Exec VP, General Counsel, Sec.",SEC EDGAR
TRV|0000086312-26-000158|nonDerivative|2026-07-24|Yin Daniel Tei-Hwa|M|Common Stock|7153|140.85|D,2026-07-28 03:29:07+0000,TRV,"TRAVELERS COMPANIES, INC.",0000086312,4,2026-07-27,2026-07-24,0000086312-26-000158,https://www.sec.gov/Archives/edgar/data/86312/000008631226000158/form4.xml,nonDerivative,2026-07-24,M,Common Stock,7153,140.85,1007500.0499999999,75987.051,D,Yin Daniel Tei-Hwa,"Officer, EVP & Co-Chief Invest. Officer",,1,,EVP & Co-Chief Invest. Officer,SEC EDGAR
TRV|0000086312-26-000158|nonDerivative|2026-07-24|Yin Daniel Tei-Hwa|S|Common Stock|7153|387.00|D,2026-07-28 03:29:07+0000,TRV,"TRAVELERS COMPANIES, INC.",0000086312,4,2026-07-27,2026-07-24,0000086312-26-000158,https://www.sec.gov/Archives/edgar/data/86312/000008631226000158/form4.xml,nonDerivative,2026-07-24,S,Common Stock,7153,387.00,2768211.0,68834.051,D,Yin Daniel Tei-Hwa,"Officer, EVP & Co-Chief Invest. Officer",,1,,EVP & Co-Chief Invest. Officer,SEC EDGAR
TRV|0000086312-26-000158|derivative|2026-07-24|Yin Daniel Tei-Hwa|M|Stock Options (Right to Buy)|7153|0|D,2026-07-28 03:29:07+0000,TRV,"TRAVELERS COMPANIES, INC.",0000086312,4,2026-07-27,2026-07-24,0000086312-26-000158,https://www.sec.gov/Archives/edgar/data/86312/000008631226000158/form4.xml,derivative,2026-07-24,M,Stock Options (Right to Buy),7153,0,0.0,0,D,Yin Daniel Tei-Hwa,"Officer, EVP & Co-Chief Invest. Officer",,1,,EVP & Co-Chief Invest. Officer,SEC EDGAR
TRV|0000086312-26-000157|nonDerivative|2026-07-24|Kurtzman Diane|M|Common Stock|4164|132.58|D,2026-07-28 03:29:07+0000,TRV,"TRAVELERS COMPANIES, INC.",0000086312,4,2026-07-27,2026-07-24,0000086312-26-000157,https://www.sec.gov/Archives/edgar/data/86312/000008631226000157/form4.xml,nonDerivative,2026-07-24,M,Common Stock,4164,132.58,552063.12,9462.209,D,Kurtzman Diane,"Officer, EVP & Chief HR Officer",,1,,EVP & Chief HR Officer,SEC EDGAR
TRV|0000086312-26-000157|nonDerivative|2026-07-24|Kurtzman Diane|S|Common Stock|4164|386.71|D,2026-07-28 03:29:07+0000,TRV,"TRAVELERS COMPANIES, INC.",0000086312,4,2026-07-27,2026-07-24,0000086312-26-000157,https://www.sec.gov/Archives/edgar/data/86312/000008631226000157/form4.xml,nonDerivative,2026-07-24,S,Common Stock,4164,386.71,1610260.44,5298.209,D,Kurtzman Diane,"Officer, EVP & Chief HR Officer",,1,,EVP & Chief HR Officer,SEC EDGAR
TRV|0000086312-26-000157|derivative|2026-07-24|Kurtzman Diane|M|Stock Options (Right to Buy)|4164|0|D,2026-07-28 03:29:07+0000,TRV,"TRAVELERS COMPANIES, INC.",0000086312,4,2026-07-27,2026-07-24,0000086312-26-000157,https://www.sec.gov/Archives/edgar/data/86312/000008631226000157/form4.xml,derivative,2026-07-24,M,Stock Options (Right to Buy),4164,0,0.0,0,D,Kurtzman Diane,"Officer, EVP & Chief HR Officer",,1,,EVP & Chief HR Officer,SEC EDGAR
TPL|0001437749-26-024474|nonDerivative|2026-07-24|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|423.94|D,2026-07-28 03:29:07+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-07-27,2026-07-24,0001437749-26-024474,https://www.sec.gov/Archives/edgar/data/1811074/000143774926024474/rdgdoc.xml,nonDerivative,2026-07-24,P,Common Stock,1,423.94,423.94,3263683,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
TFC|0001475856-26-000004|nonDerivative|2026-07-23|Boyer K. David Jr.|S|Common Stock|3986.0000|50.7000|D,2026-07-28 03:29:07+0000,TFC,TRUIST FINANCIAL CORP,0000092230,4,2026-07-27,2026-07-23,0001475856-26-000004,https://www.sec.gov/Archives/edgar/data/92230/000147585626000004/f4_a1eus000009r0wpmas-live.xml,nonDerivative,2026-07-23,S,Common Stock,3986.0000,50.7000,202090.2,10270.3420,D,Boyer K. David Jr.,,true,false,false,,SEC EDGAR
TECH|0000914190-26-000104|nonDerivative|2026-07-23|Bohnen Shane|M|Common Stock|448|47.60|D,2026-07-28 03:29:07+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-27,2026-07-23,0000914190-26-000104,https://www.sec.gov/Archives/edgar/data/842023/000091419026000104/form4.xml,nonDerivative,2026-07-23,M,Common Stock,448,47.60,21324.8,7697,D,Bohnen Shane,"Officer, SVP - General Counsel",0,1,0,SVP - General Counsel,SEC EDGAR
TECH|0000914190-26-000104|nonDerivative|2026-07-23|Bohnen Shane|F|Common Stock|344|71.77|D,2026-07-28 03:29:07+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-27,2026-07-23,0000914190-26-000104,https://www.sec.gov/Archives/edgar/data/842023/000091419026000104/form4.xml,nonDerivative,2026-07-23,F,Common Stock,344,71.77,24688.879999999997,7353,D,Bohnen Shane,"Officer, SVP - General Counsel",0,1,0,SVP - General Counsel,SEC EDGAR
TECH|0000914190-26-000104|derivative|2026-07-23|Bohnen Shane|M|Stock Option (Right to Buy)|448|0|D,2026-07-28 03:29:07+0000,TECH,BIO-TECHNE Corp,0000842023,4,2026-07-27,2026-07-23,0000914190-26-000104,https://www.sec.gov/Archives/edgar/data/842023/000091419026000104/form4.xml,derivative,2026-07-23,M,Stock Option (Right to Buy),448,0,0.0,0,D,Bohnen Shane,"Officer, SVP - General Counsel",0,1,0,SVP - General Counsel,SEC EDGAR
SCHW|0001792910-26-000006|nonDerivative|2026-07-23|Morgan Peter J. III|S|Common Stock|6952|102.0341|D,2026-07-28 03:29:07+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-07-27,2026-07-23,0001792910-26-000006,https://www.sec.gov/Archives/edgar/data/316709/000179291026000006/wk-form4_1785189935.xml,nonDerivative,2026-07-23,S,Common Stock,6952,102.0341,709341.0632,0,D,Morgan Peter J. III,"Officer, General Counsel",0,1,0,General Counsel,SEC EDGAR
ROP|0001193125-26-318067|nonDerivative|2026-07-24|WALLMAN RICHARD F|S|Common Stock|6434|361|D,2026-07-28 03:29:07+0000,ROP,ROPER TECHNOLOGIES INC,0000882835,4,2026-07-27,2026-07-24,0001193125-26-318067,https://www.sec.gov/Archives/edgar/data/882835/000119312526318067/ownership.xml,nonDerivative,2026-07-24,S,Common Stock,6434,361,2322674.0,7423,D,WALLMAN RICHARD F,,true,false,false,,SEC EDGAR
ROP|0001193125-26-318076|nonDerivative|2026-07-27|Stipancich John K|M|Common Stock|2000|228.84|D,2026-07-28 03:29:07+0000,ROP,ROPER TECHNOLOGIES INC,0000882835,4,2026-07-27,2026-07-27,0001193125-26-318076,https://www.sec.gov/Archives/edgar/data/882835/000119312526318076/ownership.xml,nonDerivative,2026-07-27,M,Common Stock,2000,228.84,457680.0,37634,D,Stipancich John K,"EVP, Chief Legal Officer & Sec",false,true,false,"EVP, Chief Legal Officer & Sec",SEC EDGAR
