unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
UNH|0000731766-26-000201|nonDerivative|2026-08-21|Conway Patrick Hugh|S|Common Stock|1169|390|D,2026-08-26 01:53:32+0000,UNH,UNITEDHEALTH GROUP INC,0000731766,4,2026-08-25,2026-08-21,0000731766-26-000201,https://www.sec.gov/Archives/edgar/data/731766/000073176626000201/wk-form4_1787690129.xml,nonDerivative,2026-08-21,S,Common Stock,1169,390,455910.0,15327.797,D,Conway Patrick Hugh,"Officer, Chief Executive Officer, Optum",0,1,0,"Chief Executive Officer, Optum",SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|440|296.3945|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,440,296.3945,130413.58,3489,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|692|297.3792|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,692,297.3792,205786.4064,2797,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|254|298.6809|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,254,298.6809,75864.9486,2543,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|154|300.175|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,154,300.175,46226.950000000004,2389,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|270|302.4687|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,270,302.4687,81666.549,2119,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TRGP|0001193125-26-365206|nonDerivative|2026-08-21|Davis Waters S IV|S|Common Stock|590|303.8142|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-25,2026-08-21,0001193125-26-365206,https://www.sec.gov/Archives/edgar/data/1389170/000119312526365206/ownership.xml,nonDerivative,2026-08-21,S,Common Stock,590,303.8142,179250.37800000003,1529,D,Davis Waters S IV,,true,false,false,,SEC EDGAR
TPR|0001225208-26-007327|nonDerivative|2026-08-21|Roe Scott A.|A|Common Stock|82854.0000|33.8100|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007327,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007327/doc4.xml,nonDerivative,2026-08-21,A,Common Stock,82854.0000,33.8100,2801293.74,151793.0000,D,Roe Scott A.,"Officer, CFO and COO",,1,,CFO and COO,SEC EDGAR
TPR|0001225208-26-007327|nonDerivative|2026-08-21|Roe Scott A.|F|Common Stock|2817.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007327,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007327/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,2817.0000,130.1700,366688.88999999996,148976.0000,D,Roe Scott A.,"Officer, CFO and COO",,1,,CFO and COO,SEC EDGAR
TPR|0001225208-26-007327|nonDerivative|2026-08-21|Roe Scott A.|F|Common Stock|3296.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007327,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007327/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,3296.0000,130.1700,429040.31999999995,145680.0000,D,Roe Scott A.,"Officer, CFO and COO",,1,,CFO and COO,SEC EDGAR
TPR|0001225208-26-007327|nonDerivative|2026-08-21|Roe Scott A.|F|Common Stock|45819.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007327,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007327/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,45819.0000,130.1700,5964259.2299999995,99861.0000,D,Roe Scott A.,"Officer, CFO and COO",,1,,CFO and COO,SEC EDGAR
TPR|0001225208-26-007326|nonDerivative|2026-08-21|Kahn Todd|A|Common Stock|66282.0000|33.8100|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007326,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007326/doc4.xml,nonDerivative,2026-08-21,A,Common Stock,66282.0000,33.8100,2240994.42,160512.0000,D,Kahn Todd,"Officer, CEO and Brand President, Coach",,1,,"CEO and Brand President, Coach",SEC EDGAR
TPR|0001225208-26-007326|nonDerivative|2026-08-21|Kahn Todd|F|Common Stock|2001.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007326,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007326/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,2001.0000,130.1700,260470.16999999998,158511.0000,D,Kahn Todd,"Officer, CEO and Brand President, Coach",,1,,"CEO and Brand President, Coach",SEC EDGAR
TPR|0001225208-26-007326|nonDerivative|2026-08-21|Kahn Todd|F|Common Stock|2434.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007326,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007326/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,2434.0000,130.1700,316833.77999999997,156077.0000,D,Kahn Todd,"Officer, CEO and Brand President, Coach",,1,,"CEO and Brand President, Coach",SEC EDGAR
TPR|0001225208-26-007326|nonDerivative|2026-08-21|Kahn Todd|F|Common Stock|33837.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007326,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007326/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,33837.0000,130.1700,4404562.29,122240.0000,D,Kahn Todd,"Officer, CEO and Brand President, Coach",,1,,"CEO and Brand President, Coach",SEC EDGAR
TPR|0001225208-26-007325|nonDerivative|2026-08-21|Howard David E|A|Common Stock|27619.0000|33.8100|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007325,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007325/doc4.xml,nonDerivative,2026-08-21,A,Common Stock,27619.0000,33.8100,933798.39,56235.0000,D,Howard David E,"Officer, Chief Legal Officer, Secretary",,1,,"Chief Legal Officer, Secretary",SEC EDGAR
TPR|0001225208-26-007325|nonDerivative|2026-08-21|Howard David E|F|Common Stock|1601.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007325,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007325/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,1601.0000,130.1700,208402.16999999998,54634.0000,D,Howard David E,"Officer, Chief Legal Officer, Secretary",,1,,"Chief Legal Officer, Secretary",SEC EDGAR
TPR|0001225208-26-007325|nonDerivative|2026-08-21|Howard David E|F|Common Stock|2029.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007325,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007325/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,2029.0000,130.1700,264114.93,52605.0000,D,Howard David E,"Officer, Chief Legal Officer, Secretary",,1,,"Chief Legal Officer, Secretary",SEC EDGAR
TPR|0001225208-26-007325|nonDerivative|2026-08-21|Howard David E|F|Common Stock|14100.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007325,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007325/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,14100.0000,130.1700,1835396.9999999998,38505.0000,D,Howard David E,"Officer, Chief Legal Officer, Secretary",,1,,"Chief Legal Officer, Secretary",SEC EDGAR
TPR|0001225208-26-007324|nonDerivative|2026-08-21|Dadlani Manesh|F|Common Stock|976.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007324,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007324/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,976.0000,130.1700,127045.91999999998,17160.0000,D,Dadlani Manesh,"Officer, VP, Controller and PAO",,1,,"VP, Controller and PAO",SEC EDGAR
TPR|0001225208-26-007324|nonDerivative|2026-08-21|Dadlani Manesh|F|Common Stock|1099.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007324,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007324/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,1099.0000,130.1700,143056.83,16061.0000,D,Dadlani Manesh,"Officer, VP, Controller and PAO",,1,,"VP, Controller and PAO",SEC EDGAR
TPR|0001225208-26-007323|nonDerivative|2026-08-21|Crevoiserat Joanne C.|A|Common Stock|220940.0000|33.8100|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007323,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007323/doc4.xml,nonDerivative,2026-08-21,A,Common Stock,220940.0000,33.8100,7469981.4,848789.0000,D,Crevoiserat Joanne C.,"Officer, Chief Executive Officer",,1,,Chief Executive Officer,SEC EDGAR
TPR|0001225208-26-007323|nonDerivative|2026-08-21|Crevoiserat Joanne C.|F|Common Stock|8001.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007323,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007323/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,8001.0000,130.1700,1041490.1699999999,840788.0000,D,Crevoiserat Joanne C.,"Officer, Chief Executive Officer",,1,,Chief Executive Officer,SEC EDGAR
TPR|0001225208-26-007323|nonDerivative|2026-08-21|Crevoiserat Joanne C.|F|Common Stock|8112.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007323,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007323/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,8112.0000,130.1700,1055939.0399999998,832676.0000,D,Crevoiserat Joanne C.,"Officer, Chief Executive Officer",,1,,Chief Executive Officer,SEC EDGAR
TPR|0001225208-26-007323|nonDerivative|2026-08-21|Crevoiserat Joanne C.|F|Common Stock|112790.0000|130.1700|D,2026-08-26 01:53:32+0000,TPR,"TAPESTRY, INC.",0001116132,4,2026-08-25,2026-08-21,0001225208-26-007323,https://www.sec.gov/Archives/edgar/data/1116132/000122520826007323/doc4.xml,nonDerivative,2026-08-21,F,Common Stock,112790.0000,130.1700,14681874.299999999,719886.0000,D,Crevoiserat Joanne C.,"Officer, Chief Executive Officer",,1,,Chief Executive Officer,SEC EDGAR
TPL|0001437749-26-028893|nonDerivative|2026-08-24|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|377.39|D,2026-08-26 01:53:32+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-08-25,2026-08-24,0001437749-26-028893,https://www.sec.gov/Archives/edgar/data/1811074/000143774926028893/rdgdoc.xml,nonDerivative,2026-08-24,P,Common Stock,1,377.39,377.39,3244016,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
SYY|0002119429-26-000009|nonDerivative|2026-08-21|Sewell Brandon Elliot|F|Common Stock|236|83.06|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0002119429-26-000009,https://www.sec.gov/Archives/edgar/data/96021/000211942926000009/wk-form4_1787690737.xml,nonDerivative,2026-08-21,F,Common Stock,236,83.06,19602.16,4521.425,D,Sewell Brandon Elliot,"Officer, Interim CFO",0,1,0,Interim CFO,SEC EDGAR
SYY|0001876104-26-000005|nonDerivative|2026-08-21|Schott Jennifer Kaplan|F|Common Stock|665|83.06|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001876104-26-000005,https://www.sec.gov/Archives/edgar/data/96021/000187610426000005/wk-form4_1787690721.xml,nonDerivative,2026-08-21,F,Common Stock,665,83.06,55234.9,13651,D,Schott Jennifer Kaplan,"Officer, EVP, Chief Legal Officer",0,1,0,"EVP, Chief Legal Officer",SEC EDGAR
SYY|0001861524-26-000009|nonDerivative|2026-08-21|Phillips Ronald L|M|Common Stock|7350|76.54|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001861524-26-000009,https://www.sec.gov/Archives/edgar/data/96021/000186152426000009/wk-form4_1787690705.xml,nonDerivative,2026-08-21,M,Common Stock,7350,76.54,562569.0,45999.664,D,Phillips Ronald L,"Officer, EVP and CHRO",0,1,0,EVP and CHRO,SEC EDGAR
SYY|0001861524-26-000009|nonDerivative|2026-08-21|Phillips Ronald L|S|Common Stock|7350|83.61|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001861524-26-000009,https://www.sec.gov/Archives/edgar/data/96021/000186152426000009/wk-form4_1787690705.xml,nonDerivative,2026-08-21,S,Common Stock,7350,83.61,614533.5,38649.664,D,Phillips Ronald L,"Officer, EVP and CHRO",0,1,0,EVP and CHRO,SEC EDGAR
SYY|0001861524-26-000009|nonDerivative|2026-08-21|Phillips Ronald L|F|Common Stock|1831|83.06|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001861524-26-000009,https://www.sec.gov/Archives/edgar/data/96021/000186152426000009/wk-form4_1787690705.xml,nonDerivative,2026-08-21,F,Common Stock,1831,83.06,152082.86000000002,36818.664,D,Phillips Ronald L,"Officer, EVP and CHRO",0,1,0,EVP and CHRO,SEC EDGAR
SYY|0001861524-26-000009|nonDerivative|2026-08-24|Phillips Ronald L|S|Common Stock|506|84.09|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001861524-26-000009,https://www.sec.gov/Archives/edgar/data/96021/000186152426000009/wk-form4_1787690705.xml,nonDerivative,2026-08-24,S,Common Stock,506,84.09,42549.54,36312.664,D,Phillips Ronald L,"Officer, EVP and CHRO",0,1,0,EVP and CHRO,SEC EDGAR
SYY|0001861524-26-000009|derivative|2026-08-21|Phillips Ronald L|M|Stock Options (Right to buy)|7350|0|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001861524-26-000009,https://www.sec.gov/Archives/edgar/data/96021/000186152426000009/wk-form4_1787690705.xml,derivative,2026-08-21,M,Stock Options (Right to buy),7350,0,0.0,7350,D,Phillips Ronald L,"Officer, EVP and CHRO",0,1,0,EVP and CHRO,SEC EDGAR
SYY|0001768282-26-000007|nonDerivative|2026-08-21|Keller Gregory Scott|F|Common Stock|1105|83.06|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001768282-26-000007,https://www.sec.gov/Archives/edgar/data/96021/000176828226000007/wk-form4_1787690753.xml,nonDerivative,2026-08-21,F,Common Stock,1105,83.06,91781.3,21503.809,D,Keller Gregory Scott,"Officer, EVP",0,1,0,EVP,SEC EDGAR
SYY|0001885927-26-000005|nonDerivative|2026-08-21|Johnson Jennifer L|F|Common Stock|621|83.06|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001885927-26-000005,https://www.sec.gov/Archives/edgar/data/96021/000188592726000005/wk-form4_1787690773.xml,nonDerivative,2026-08-21,F,Common Stock,621,83.06,51580.26,16337.29,D,Johnson Jennifer L,"Officer, SVP and CAO",0,1,0,SVP and CAO,SEC EDGAR
SYY|0001741853-26-000007|nonDerivative|2026-08-21|Hourican Kevin|F|Common Stock|12796|83.06|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0001741853-26-000007,https://www.sec.gov/Archives/edgar/data/96021/000174185326000007/wk-form4_1787690786.xml,nonDerivative,2026-08-21,F,Common Stock,12796,83.06,1062835.76,468342.393,D,Hourican Kevin,"Director, Officer, Chair and CEO",1,1,0,Chair and CEO,SEC EDGAR
SYY|0002120465-26-000012|nonDerivative|2026-08-21|Higgs Stephen Dale|F|Common Stock|970|83.06|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0002120465-26-000012,https://www.sec.gov/Archives/edgar/data/96021/000212046526000012/wk-form4_1787690800.xml,nonDerivative,2026-08-21,F,Common Stock,970,83.06,80568.2,8782.18,D,Higgs Stephen Dale,"Officer, SVP",0,1,0,SVP,SEC EDGAR
SYY|0002095080-26-000007|nonDerivative|2026-08-21|Garrett Brenna C|F|Common Stock|358|83.06|D,2026-08-26 01:53:32+0000,SYY,SYSCO CORP,0000096021,4,2026-08-25,2026-08-21,0002095080-26-000007,https://www.sec.gov/Archives/edgar/data/96021/000209508026000007/wk-form4_1787690816.xml,nonDerivative,2026-08-21,F,Common Stock,358,83.06,29735.48,8192.135,D,Garrett Brenna C,"Officer, SVP, CCO",0,1,0,"SVP, CCO",SEC EDGAR
RVTY|0001193125-26-365114|nonDerivative|2026-08-25|MICHAS ALEXIS P|G|Common Stock|285|0|I,2026-08-26 01:53:32+0000,RVTY,"REVVITY, INC.",0000031791,4,2026-08-25,2026-08-25,0001193125-26-365114,https://www.sec.gov/Archives/edgar/data/31791/000119312526365114/ownership.xml,nonDerivative,2026-08-25,G,Common Stock,285,0,0.0,6985,I,MICHAS ALEXIS P,,true,false,false,,SEC EDGAR
OTIS|0001781335-26-000117|nonDerivative|2026-08-23|Mendez Echevarria Maria Cristina|M|Common Stock|2137||D,2026-08-26 01:53:32+0000,OTIS,Otis Worldwide Corp,0001781335,4,2026-08-25,2026-08-23,0001781335-26-000117,https://www.sec.gov/Archives/edgar/data/1781335/000178133526000117/form4.xml,nonDerivative,2026-08-23,M,Common Stock,2137,,,11394,D,Mendez Echevarria Maria Cristina,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
OTIS|0001781335-26-000117|nonDerivative|2026-08-23|Mendez Echevarria Maria Cristina|F|Common Stock|838|71.49|D,2026-08-26 01:53:32+0000,OTIS,Otis Worldwide Corp,0001781335,4,2026-08-25,2026-08-23,0001781335-26-000117,https://www.sec.gov/Archives/edgar/data/1781335/000178133526000117/form4.xml,nonDerivative,2026-08-23,F,Common Stock,838,71.49,59908.619999999995,10556,D,Mendez Echevarria Maria Cristina,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
OTIS|0001781335-26-000117|derivative|2026-08-23|Mendez Echevarria Maria Cristina|M|Restricted Stock Units|2137|0|D,2026-08-26 01:53:32+0000,OTIS,Otis Worldwide Corp,0001781335,4,2026-08-25,2026-08-23,0001781335-26-000117,https://www.sec.gov/Archives/edgar/data/1781335/000178133526000117/form4.xml,derivative,2026-08-23,M,Restricted Stock Units,2137,0,0.0,2145,D,Mendez Echevarria Maria Cristina,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
NTRS|0001751051-26-000014|nonDerivative|2026-08-24|South Thomas A|S|Common Stock|1800|184.90|D,2026-08-26 01:53:32+0000,NTRS,NORTHERN TRUST CORP,0000073124,4,2026-08-25,2026-08-24,0001751051-26-000014,https://www.sec.gov/Archives/edgar/data/73124/000175105126000014/wk-form4_1787689090.xml,nonDerivative,2026-08-24,S,Common Stock,1800,184.90,332820.0,92917,D,South Thomas A,"Officer, Executive Vice President",0,1,0,Executive Vice President,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|144.00|959.14|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,144.00,959.14,138116.16,304359.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|823.00|960.41|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,823.00,960.41,790417.4299999999,303536.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|1586.00|961.58|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,1586.00,961.58,1525065.8800000001,301950.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|4305.00|962.84|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,4305.00,962.84,4145026.2,297645.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|4227.00|963.84|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,4227.00,963.84,4074151.68,293418.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|3434.00|964.67|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,3434.00,964.67,3312676.78,289984.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|2930.00|965.81|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,2930.00,965.81,2829823.3,287054.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|2938.00|966.85|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,2938.00,966.85,2840605.3000000003,284116.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|5252.00|967.75|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,5252.00,967.75,5082623.0,278864.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|2847.00|968.77|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,2847.00,968.77,2758088.19,276017.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|862.00|970.08|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,862.00,970.08,836208.9600000001,275155.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
MU|0001242654-26-000015|nonDerivative|2026-08-21|MEHROTRA SANJAY|S|Common Stock|1023.00|970.71|D,2026-08-26 01:53:32+0000,MU,MICRON TECHNOLOGY INC,0000723125,4,2026-08-25,2026-08-21,0001242654-26-000015,https://www.sec.gov/Archives/edgar/data/723125/000124265426000015/primarydocument.xml,nonDerivative,2026-08-21,S,Common Stock,1023.00,970.71,993036.3300000001,274132.00,D,MEHROTRA SANJAY,President and CEO,true,true,false,President and CEO,SEC EDGAR
