unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
TPL|0001437749-26-019317|nonDerivative|2026-06-02|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|368.20|D,2026-06-03 18:11:01+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-06-03,2026-06-02,0001437749-26-019317,https://www.sec.gov/Archives/edgar/data/1811074/000143774926019317/rdgdoc.xml,nonDerivative,2026-06-02,P,Common Stock,1,368.20,368.2,3393544,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
TFC|0002045092-26-000008|nonDerivative|2026-06-01|Bender Bradley D|M|Common Stock|16149.0000||D,2026-06-03 18:11:01+0000,TFC,TRUIST FINANCIAL CORP,0000092230,4,2026-06-03,2026-06-01,0002045092-26-000008,https://www.sec.gov/Archives/edgar/data/92230/000204509226000008/f4_a1eus000008wytpmai-live.xml,nonDerivative,2026-06-01,M,Common Stock,16149.0000,,,21896.0000,D,Bender Bradley D,Chief Risk Officer,false,true,false,Chief Risk Officer,SEC EDGAR
TFC|0002045092-26-000008|nonDerivative|2026-06-01|Bender Bradley D|F|Common Stock|9115.0000|46.8700|D,2026-06-03 18:11:01+0000,TFC,TRUIST FINANCIAL CORP,0000092230,4,2026-06-03,2026-06-01,0002045092-26-000008,https://www.sec.gov/Archives/edgar/data/92230/000204509226000008/f4_a1eus000008wytpmai-live.xml,nonDerivative,2026-06-01,F,Common Stock,9115.0000,46.8700,427220.05,12781.0000,D,Bender Bradley D,Chief Risk Officer,false,true,false,Chief Risk Officer,SEC EDGAR
TFC|0002045092-26-000008|derivative|2026-06-01|Bender Bradley D|M|Restricted Stock Units|16149.0000|0.0000|D,2026-06-03 18:11:01+0000,TFC,TRUIST FINANCIAL CORP,0000092230,4,2026-06-03,2026-06-01,0002045092-26-000008,https://www.sec.gov/Archives/edgar/data/92230/000204509226000008/f4_a1eus000008wytpmai-live.xml,derivative,2026-06-01,M,Restricted Stock Units,16149.0000,0.0000,0.0,0.0000,D,Bender Bradley D,Chief Risk Officer,false,true,false,Chief Risk Officer,SEC EDGAR
NXPI|0001812730-26-000004|nonDerivative|2026-06-01|Jensen Christopher L|S|Common Stock|1746|316.53|D,2026-06-03 18:11:01+0000,NXPI,NXP Semiconductors N.V.,0001413447,4,2026-06-03,2026-06-01,0001812730-26-000004,https://www.sec.gov/Archives/edgar/data/1413447/000181273026000004/wk-form4_1780482404.xml,nonDerivative,2026-06-01,S,Common Stock,1746,316.53,552661.38,3643,D,Jensen Christopher L,"Officer, EVP, Chief People Officer",0,1,0,"EVP, Chief People Officer",SEC EDGAR
NUE|0000073309-26-000099|nonDerivative|2026-06-01|Batterbee Thomas J.|F|Common Stock|340|250.00|D,2026-06-03 18:11:01+0000,NUE,NUCOR CORP,0000073309,4,2026-06-03,2026-06-01,0000073309-26-000099,https://www.sec.gov/Archives/edgar/data/73309/000007330926000099/form4.xml,nonDerivative,2026-06-01,F,Common Stock,340,250.00,85000.0,19198.87,D,Batterbee Thomas J.,"Officer, Executive Vice President",,1,,Executive Vice President,SEC EDGAR
NUE|0000073309-26-000099|nonDerivative|2026-06-01|Batterbee Thomas J.|F|Common Stock|268|250.00|D,2026-06-03 18:11:01+0000,NUE,NUCOR CORP,0000073309,4,2026-06-03,2026-06-01,0000073309-26-000099,https://www.sec.gov/Archives/edgar/data/73309/000007330926000099/form4.xml,nonDerivative,2026-06-01,F,Common Stock,268,250.00,67000.0,18930.87,D,Batterbee Thomas J.,"Officer, Executive Vice President",,1,,Executive Vice President,SEC EDGAR
NUE|0000073309-26-000099|nonDerivative|2026-06-01|Batterbee Thomas J.|F|Common Stock|429|250.00|D,2026-06-03 18:11:01+0000,NUE,NUCOR CORP,0000073309,4,2026-06-03,2026-06-01,0000073309-26-000099,https://www.sec.gov/Archives/edgar/data/73309/000007330926000099/form4.xml,nonDerivative,2026-06-01,F,Common Stock,429,250.00,107250.0,18501.87,D,Batterbee Thomas J.,"Officer, Executive Vice President",,1,,Executive Vice President,SEC EDGAR
NUE|0000073309-26-000099|nonDerivative|2026-06-01|Batterbee Thomas J.|A|Common Stock|1636|0|D,2026-06-03 18:11:01+0000,NUE,NUCOR CORP,0000073309,4,2026-06-03,2026-06-01,0000073309-26-000099,https://www.sec.gov/Archives/edgar/data/73309/000007330926000099/form4.xml,nonDerivative,2026-06-01,A,Common Stock,1636,0,0.0,20137.87,D,Batterbee Thomas J.,"Officer, Executive Vice President",,1,,Executive Vice President,SEC EDGAR
NUE|0000073309-26-000099|derivative|2026-06-01|Batterbee Thomas J.|A|Stock Option|1842|0|D,2026-06-03 18:11:01+0000,NUE,NUCOR CORP,0000073309,4,2026-06-03,2026-06-01,0000073309-26-000099,https://www.sec.gov/Archives/edgar/data/73309/000007330926000099/form4.xml,derivative,2026-06-01,A,Stock Option,1842,0,0.0,1842,D,Batterbee Thomas J.,"Officer, Executive Vice President",,1,,Executive Vice President,SEC EDGAR
MKC|0000063754-26-000242|derivative|2026-06-02|Piper Sarah|A|Phantom Stock|54.496|46.58|I,2026-06-03 18:11:01+0000,MKC,MCCORMICK & CO INC,0000063754,4,2026-06-03,2026-06-02,0000063754-26-000242,https://www.sec.gov/Archives/edgar/data/63754/000006375426000242/form4.xml,derivative,2026-06-02,A,Phantom Stock,54.496,46.58,2538.42368,4601.614,I,Piper Sarah,"Officer, Chief Human Relations Officer",0,1,0,Chief Human Relations Officer,SEC EDGAR
MKC|0000063754-26-000240|derivative|2026-06-02|Foley Brendan M|A|Phantom Stock|53.815|46.58|I,2026-06-03 18:11:01+0000,MKC,MCCORMICK & CO INC,0000063754,4,2026-06-03,2026-06-02,0000063754-26-000240,https://www.sec.gov/Archives/edgar/data/63754/000006375426000240/form4.xml,derivative,2026-06-02,A,Phantom Stock,53.815,46.58,2506.7027,14070.359,I,Foley Brendan M,"Officer, Chairman, President & CEO",0,1,0,"Chairman, President & CEO",SEC EDGAR
MCK|0000927653-26-000138|nonDerivative|2026-06-01|Rodgers Thomas L|S|Common Stock|123|735.5|D,2026-06-03 18:11:01+0000,MCK,MCKESSON CORP,0000927653,4,2026-06-03,2026-06-01,0000927653-26-000138,https://www.sec.gov/Archives/edgar/data/927653/000092765326000138/form4.xml,nonDerivative,2026-06-01,S,Common Stock,123,735.5,90466.5,2967,D,Rodgers Thomas L,"Officer, EVP, Chief Strategy & BDO",0,1,0,"EVP, Chief Strategy & BDO",SEC EDGAR
MCK|0000927653-26-000138|nonDerivative|2026-06-02|Rodgers Thomas L|S|Common Stock|699|735.27|D,2026-06-03 18:11:01+0000,MCK,MCKESSON CORP,0000927653,4,2026-06-03,2026-06-01,0000927653-26-000138,https://www.sec.gov/Archives/edgar/data/927653/000092765326000138/form4.xml,nonDerivative,2026-06-02,S,Common Stock,699,735.27,513953.73,2268,D,Rodgers Thomas L,"Officer, EVP, Chief Strategy & BDO",0,1,0,"EVP, Chief Strategy & BDO",SEC EDGAR
BDX|0001628280-26-040095|nonDerivative|2026-06-01|Polen Thomas E Jr|M|Common Stock|20209|126.16|D,2026-06-03 18:11:01+0000,BDX,BECTON DICKINSON & CO,0000010795,4,2026-06-03,2026-06-01,0001628280-26-040095,https://www.sec.gov/Archives/edgar/data/10795/000162828026040095/wk-form4_1780505062.xml,nonDerivative,2026-06-01,M,Common Stock,20209,126.16,2549567.44,125680,D,Polen Thomas E Jr,"Director, Officer, Chairman, CEO and President",1,1,0,"Chairman, CEO and President",SEC EDGAR
BDX|0001628280-26-040095|nonDerivative|2026-06-01|Polen Thomas E Jr|D|Common Stock|17445|146.15|D,2026-06-03 18:11:01+0000,BDX,BECTON DICKINSON & CO,0000010795,4,2026-06-03,2026-06-01,0001628280-26-040095,https://www.sec.gov/Archives/edgar/data/10795/000162828026040095/wk-form4_1780505062.xml,nonDerivative,2026-06-01,D,Common Stock,17445,146.15,2549586.75,108235,D,Polen Thomas E Jr,"Director, Officer, Chairman, CEO and President",1,1,0,"Chairman, CEO and President",SEC EDGAR
BDX|0001628280-26-040095|nonDerivative|2026-06-01|Polen Thomas E Jr|S|Common Stock|2764|146.35|D,2026-06-03 18:11:01+0000,BDX,BECTON DICKINSON & CO,0000010795,4,2026-06-03,2026-06-01,0001628280-26-040095,https://www.sec.gov/Archives/edgar/data/10795/000162828026040095/wk-form4_1780505062.xml,nonDerivative,2026-06-01,S,Common Stock,2764,146.35,404511.39999999997,110163,D,Polen Thomas E Jr,"Director, Officer, Chairman, CEO and President",1,1,0,"Chairman, CEO and President",SEC EDGAR
BDX|0001628280-26-040095|derivative|2026-06-01|Polen Thomas E Jr|M|Stock Appreciation Rights|20209|0|D,2026-06-03 18:11:01+0000,BDX,BECTON DICKINSON & CO,0000010795,4,2026-06-03,2026-06-01,0001628280-26-040095,https://www.sec.gov/Archives/edgar/data/10795/000162828026040095/wk-form4_1780505062.xml,derivative,2026-06-01,M,Stock Appreciation Rights,20209,0,0.0,0,D,Polen Thomas E Jr,"Director, Officer, Chairman, CEO and President",1,1,0,"Chairman, CEO and President",SEC EDGAR
